"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"Dewi Takdir";"Divine Fate";"Dewi Takdir telah memperkuat usaha saya.";""Divine Fate has strengthened my business.";"Proper Noun, Noun"
"memperlemah";"weaken";"Kebiasaan buruk dapat memperlemah kinerja kita.";""Bad habits can weaken our performance.";"Verb"
"memperpanjang";"extend";"Saya perlu memperpanjang waktu dalam pembelian ini.";""I need to extend the time for this purchase.";"Verb"
"memperpendek";"shorten";"Kami harus memperpendek rekening ini.";""We need to shorten this account.";"Verb"
"mempermudah";"simplify";"Teknologi baru ini akan mempermudah kehidupan kita.";""This new technology will simplify our lives.";"Verb"
"memperbanyak";"increase";"Kami akan memperbanyak stok saham ini.";""We will increase the stock of this share.";"Verb"
"memperbesar";"enlarge";"Kami akan memperbesar usaha kami tahun depan.";""We will enlarge our business next year.";"Verb"
"mempersulit";"complicate";"Keputusan tersebut akan mempersulit situasi.";""The decision will complicate the situation.";"Verb"
"memperkecil";"reduce";"Mereka harus memperkecil penggunaan plastik.";""They need to reduce the use of plastic.";"Verb"
"mempercepat";"accelerate";"Kami perlu mempercepat proses pembelian ini.";""We need to accelerate this purchase process.";"Verb"
"memperlambat";"slow down";"Berjalan terlalu cepat bisa memperlambat kita.";""Walking too fast can slow us down.";"Verb"
"memperburuk";"worsen";"Keputusan buruk itu dapat memperburuk situasi.";""That bad decision can worsen the situation.";"Verb"
"memperkaya";"enrich";"Membaca buku dapat memperkaya pengetahuan kita.";""Reading books can enrich our knowledge.";"Verb"
"memperketat";"tighten";"Pemerintah harus memperketat regulasi ini.";""The government should tighten this regulation.";"Verb"
"memperluas";"expand";"Kami berencana untuk memperluas bisnis kami ke luar negeri.";""We plan to expand our business abroad.";"Verb"
"usaha";"business";"Usaha kecil ini mulai berkembang.";""This small business is starting to grow.";"Noun"
"saham";"share";"Saya ingin membeli saham dalam perusahaan ini.";""I want to buy shares in this company.";"Noun"
"pembelian";"purchase";"Pembelian ini harus segera dilakukan.";""This purchase must be made immediately.";"Noun"
"rekening";"account";"Saya perlu membuka rekening bank baru.";""I need to open a new bank account.";"Noun"
