"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"pemberi";"giver";"Dia adalah seorang pemberi yang sangat murah hati.";"He is a very generous giver.";"noun"
"pencuci";"cleaner";"Saya selalu menggunakan pencuci piring otomatis.";"I always use an automatic dishwasher.";"noun"
"pendatang";"immigrant";"Banyak negara menerima pendatang dengan ramah.";"Many countries welcome immigrants warmly.";"noun"
"pengirim";"sender";"Saya akan menginformasikan alamat pengirimnya kepada Anda.";"I will inform you of the sender's address.";"noun"
"pengisi";"filler";"Minuman itu memiliki pengisi buah-buahan yang alami.";"The beverage has natural fruit fillers.";"noun"
"pengunjung";"visitor";"Pengunjung dapat mengagumi keindahan alam ini.";"Visitors can admire the beauty of this nature.";"noun"
"pengembang";"developer";"Pengembang aplikasi itu sangat kreatif.";"The application developer is very creative.";"noun"
"penggali";"digger";"Dia adalah seorang penggali yang handal.";"He is a reliable digger.";"noun"
"pembicara";"speaker";"Pembicara konferensi itu sangat menginspirasi.";"The conference speaker was very inspiring.";"noun"
"pembuat";"maker";"Saya adalah seorang pembuat kerajinan tangan.";"I am a handmade craft maker.";"noun"
"pembuka";"opener";"Pembuka botol itu sangat praktis.";"The bottle opener is very practical.";"noun"
"penonton";"audience";"Para penonton memberikan tepuk tangan meriah.";"The audience gave a big round of applause.";"noun"
"pendukung";"supporter";"Negara itu memiliki banyak pendukung olahraga.";"The country has many sports supporters.";"noun"
"pejalan kaki";"pedestrian";"Kota ini memiliki jalur khusus untuk pejalan kaki.";"This city has dedicated pedestrian paths.";"noun"
"pendatang baru";"newcomer";"Dia adalah seorang pendatang baru yang penuh semangat.";"He is an enthusiastic newcomer.";"noun"
"Amerika Serikat";"United States";"Amerika Serikat adalah sebuah negara di Amerika Utara.";"The United States is a country in North America.";"proper noun"
"benua";"continent";"Benua Afrika terkenal dengan kekayaan budayanya.";"The continent of Africa is famous for its cultural richness.";"noun"
"Tiongkok";"China";"Tiongkok memiliki sejarah yang kaya dan budaya yang unik.";"China has a rich history and unique culture.";"proper noun"
"Swiss";"Switzerland";"Swiss terkenal dengan keindahan alamnya.";"Switzerland is famous for its natural beauty.";"proper noun"
"Tionghoa";"Chinese";"Suku Tionghoa memiliki tradisi yang kaya dan beragam.";"The Chinese ethnic group has a rich and diverse tradition.";"noun"
