"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"rumah";"house";"Rumah ini sangat besar.";"This house is very big.";"noun"
"sini";"here";"Sini adalah tempat yang nyaman.";"Here is a comfortable place.";"adverb"
"sekolah";"school";"Sekolah itu dekat dengan rumahku.";"The school is near my house.";"noun"
"gedung";"building";"Gedung ini tinggi dan megah.";"This building is tall and grand.";"noun"
"hotel";"hotel";"Kami menginap di hotel tersebut.";"We stayed at that hotel.";"noun"
"situ";"there";"Tolong ambil tas di situ.";"Please take the bag there.";"adverb"
"toko";"store";"Toko itu menjual barang-barang yang berkualitas.";"That store sells quality goods.";"noun"
"toilet";"toilet";"Di mana toilet terdekat?";"Where is the nearest toilet?";"noun"
"dari situ";"from there";"Dia datang dari situ.";"She came from there.";"phrase"
"ke situ";"to there";"Mari kita pergi ke situ.";"Let's go there.";"phrase"
"di situ";"at there";"Saya melihatnya di situ.";"I saw it at there.";"phrase"
"kembali";"back";"Ayo pulang kembali.";"Let's go back home.";"adverb"
"selesai";"finished";"Pekerjaan sudah selesai.";"The work is already finished.";"adjective"
"bisa";"can";"Dia bisa melakukan itu.";"She can do that.";"verb"
"tampil";"perform";"Grup band itu akan tampil malam ini.";"The band will perform tonight.";"verb"
"sepakat";"agree";"Kami tidak sepakat dengan pendapatmu.";"We don't agree with your opinion.";"verb"
"-ku";"my";"Ini adalah rumahku yang baru.";"This is my new house.";"suffix"
"bola";"ball";"Anak itu suka bermain bola.";"The child likes playing ball.";"noun"
"nama orang";"person's name";"Apa nama orang itu?";"What is that person's name?";"noun"
"-mu";"your";"Ini adalah tasmu.";"This is your bag.";"suffix"
