"words in indonesian"; "words in english"; "sentence in indonesian using the words"; "english translation"; "part of speech of the words"
"mengambilkan"; "provide"; "Pak Wayan mengambilkan buku saya"; "Mr. Wayan provides my book"; "verb"
"mengajarkan"; "teach"; "Guru itu mengajarkan matematika kepada murid-muridnya"; "The teacher teaches mathematics to his students"; "verb"
"mengingatkan"; "remind"; "Ibu selalu mengingatkan saya untuk membawa payung ketika hujan"; "Mother always reminds me to bring an umbrella when it rains"; "verb"
"menggantikan"; "replace"; "Saya harus menggantikan lampu yang rusak"; "I have to replace the broken light"; "verb"
"menghilangkan"; "eliminate"; "Latihan rutin dapat membantu menghilangkan stres"; "Regular exercise can help eliminate stress"; "verb"
"menghentikan"; "stop"; "Polisi menghentikan mobil yang melanggar aturan lalu lintas"; "The police stop the car that violates traffic rules"; "verb"
"menyimpankan"; "store"; "Saya akan menyimpankan tas Anda di lemari"; "I will store your bag in the closet"; "verb"
"menyewakan"; "rent"; "Pak Darmawan menyewakan rumahnya kepada pengunjung"; "Mr. Darmawan rents out his house to visitors"; "verb"
"menyambungkan"; "connect"; "Teknisi akan menyambungkan internet ke komputer Anda"; "The technician will connect the internet to your computer"; "verb"
"mengirimkan"; "send"; "Saya akan mengirimkan surat tersebut hari ini"; "I will send the letter today"; "verb"
"mengalahkan"; "defeat"; "Tim sepak bola kita berhasil mengalahkan tim lawan dengan skor 3-1"; "Our football team successfully defeated the opponent with a score of 3-1"; "verb"
"mengembangkan"; "develop"; "Perusahaan itu berusaha mengembangkan produk baru"; "The company is trying to develop a new product"; "verb"
"mengumpulkan"; "collect"; "Saya harus mengumpulkan semua laporan sebelum pertemuan"; "I have to collect all the reports before the meeting"; "verb"
"merusakkan"; "damage"; "Anak itu sengaja merusakkan mainan adiknya"; "The child intentionally damages his sibling's toy"; "verb"
"mengemudikan"; "drive"; "Saya senang mengemudikan mobil sendiri"; "I enjoy driving my own car"; "verb"
"pesawat"; "airplane"; "Pesawat itu akan lepas landas dalam waktu 10 menit"; "The airplane will take off in 10 minutes"; "noun"
"bandara"; "airport"; "Kami harus pergi ke bandara untuk menjemput teman dari luar kota"; "We have to go to the airport to pick up our friend from out of town"; "noun"
"pengendara"; "rider"; "Para pengendara sepeda harus menggunakan helm keselamatan"; "Bicycle riders must wear safety helmets"; "noun"
"keterlambatan"; "delay"; "Keterlambatan kereta api membuat penumpang kesal"; "The train delay makes the passengers upset"; "noun"
"masinis"; "train driver"; "Masinis itu bertanggung jawab mengendarai kereta api"; "The train driver is responsible for driving the train"; "noun"
