"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"pelajar";"student";"Saya adalah seorang pelajar di sekolah."; "I am a student at school.";"noun"
"melemparkan";"throw";"Dia melemparkan bola ke arah temannya."; "He threw the ball towards his friend.";"verb"
"memainkan";"play";"Anak-anak sedang memainkan permainan."; "The children are playing a game.";"verb"
"melanjutkan";"continue";"Saya akan melanjutkan pekerjaan besok."; "I will continue the work tomorrow.";"verb"
"melupakan";"forget";"Dia sering melupakan tanggal-tanggal penting."; "He often forgets important dates.";"verb"
"memunculkan";"bring up";"Peristiwa itu memunculkan banyak pertanyaan."; "The incident brought up many questions.";"verb"
"memasakkan";"cook";"Ibu memasakkan makanan enak untuk kami."; "Mother cooked delicious food for us.";"verb"
"membicarakan";"discuss";"Mereka sedang membicarakan proyek baru."; "They are discussing a new project.";"verb"
"membawakan";"bring";"Tolong, bawakan saya air minum."; "Please, bring me some water.";"verb"
"membacakan";"read out loud";"Nenek sedang membacakan cerita untuk cucunya."; "Grandmother is reading out loud a story to her grandchildren.";"verb"
"mendirikan";"establish";"Dia berhasil mendirikan bisnisnya sendiri."; "He successfully established his own business.";"verb"
"menjatuhkan";"drop";"Anak itu menjatuhkan gelas dan pecah."; "The child dropped the glass and it broke.";"verb"
"menjadikan";"make";"Dia ingin menjadikan hobi menjahit menjadi pekerjaan."; "She wants to make sewing hobby into a job.";"verb"
"mendatangkan";"bring";"Pesta itu akan mendatangkan banyak tamu."; "The party will bring many guests.";"verb"
"memecahkan";"solve";"Tolong bantu saya memecahkan teka-teki ini."; "Please help me solve this puzzle.";"verb"
"memuaskan";"satisfy";"Pelayanan mereka sangat memuaskan."; "Their service is very satisfying.";"verb"
"memikirkan";"think";"Saya sedang memikirkan masalah ini."; "I am thinking about this problem.";"verb"
"menuliskan";"write";"Dia menuliskan catatan penting di buku."; "He wrote down important notes in the book.";"verb"
"menurunkan";"lower";"Tolong menurunkan suhu AC sedikit."; "Please lower the AC temperature a bit.";"verb"
"meneruskan";"continue";"Silakan meneruskan membaca buku itu."; "Please continue reading the book.";"verb"
