"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"gambarkan";"depict";"Saya dapat gambarkan keindahan alam dengan menggambar.";"I can depict the beauty of nature by drawing."; "verb"
"ubah";"change";"Anda perlu ubah kebiasaan buruk ini.";"You need to change this bad habit."; "verb"
"nyanyikan";"sing";"Ibu nyanyikan lagu pengantar tidur untuk anaknya.";"Mother sings a lullaby to her child."; "verb"
"ambilkan";"fetch";"Tolong ambilkan saya segelas air.";"Please fetch me a glass of water."; "verb"
"furnitur";"furniture";"Kami membutuhkan furnitur baru untuk ruang tamu.";"We need new furniture for the living room."; "noun"
"langit-langit";"ceiling";"Langit-langit ruangan ini sangat tinggi.";"The ceiling of this room is very high."; "noun"
"tangga";"stairs";"Ayo naiki tangga ini bersama-sama.";"Let's climb these stairs together."; "noun"
"bak mandi";"bathtub";"Anak itu sedang bermain dalam bak mandi.";"The child is playing in the bathtub."; "noun"
"pemanas";"heater";"Suhu udara turun, kita harus nyalakan pemanas.";"The temperature is dropping, we need to turn on the heater."; "noun"
"mainan";"toy";"Anak-anak itu sedang bermain dengan mainan mereka.";"The children are playing with their toys."; "noun"
"seprai";"bed sheet";"Saya harus mencuci seprai ini."; "I need to wash this bed sheet."; "noun"
"tempat sampah";"trash can";"Tolong buang sampah ke tempat sampah yang tepat.";"Please dispose of trash in the proper trash can."; "noun"
"gerbang";"gate";"Mobil tersebut keluar melalui gerbang yang besar.";"The car exited through the large gate."; "noun"
"mebel";"furniture";"Toko ini menjual berbagai macam mebel.";"This shop sells a variety of furniture."; "noun"
"kasur";"mattress";"Kasur ini sangat nyaman untuk tidur.";"This mattress is very comfortable for sleeping."; "noun"
"ranjang";"bed";"Anak-anak tidur di ranjang mereka sendiri.";"The children sleep in their own beds."; "noun"
"gorden";"curtain";"Saya ingin mengganti gorden ini dengan yang baru.";"I want to replace this curtain with a new one."; "noun"
"hewan";"animal";"Saya sangat mencintai hewan peliharaan saya.";"I love my pets very much."; "noun"
"serigala";"wolf";"Di hutan itu, seekor serigala melolong di malam hari.";"In that forest, a wolf howls at night."; "noun"
"kupu-kupu";"butterfly";"Anak itu mengejar kupu-kupu di taman.";"The child is chasing butterflies in the garden."; "noun"
