"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"oposisi";"opposition";"Partai Oposisi mengkritik kebijakan pemerintah.";The Opposition Party criticized the government's policies.;"noun"
"menteri";"minister";"Menteri Luar Negeri mengadakan pertemuan dengan pejabat asing.";The Minister of Foreign Affairs held a meeting with foreign officials.;"noun"
"wali kota";"mayor";"Wali Kota baru dilantik hari ini.";The new mayor was inaugurated today.;"noun"
"calon";"candidate";"Calon presiden akan memberikan pidato besok.";The presidential candidate will give a speech tomorrow.;"noun"
"balai kota";"city hall";"Pertemuan di balai kota membahas pembangunan infrastruktur.";The meeting at city hall discussed infrastructure development.;"noun"
"bangsa";"nation";"Keragaman budaya merupakan kekayaan suatu bangsa.";Cultural diversity is the wealth of a nation.;"noun"
"majelis";"assembly";"Majelis legislatif sedang membahas undang-undang baru.";The legislative assembly is discussing a new law.;"noun"
"peristiwa";"event";"Peristiwa itu meninggalkan kesan mendalam bagi saya.";That event left a deep impression on me.;"noun"
"demokrasi";"democracy";"Demokrasi adalah sistem pemerintahan rakyat, oleh rakyat, dan untuk rakyat.";Democracy is a system of government by the people, for the people, and of the people.;"noun"
"berjuang";"fight";"Kita harus terus berjuang untuk mencapai tujuan kita.";We must continue to fight to achieve our goals.;"verb"
"pemilih";"voter";"Pemilih diberikan hak suara dalam pemilu.";Voters are given the right to vote in elections.;"noun"
"senator";"senator";"Senator tersebut mengusulkan undang-undang baru di parlemen.";The senator proposed a new law in the parliament.;"noun"
"pidato";"speech";"Presiden memberikan pidato yang menginspirasi.";The president delivered an inspiring speech.;"noun"
"majelis hakim";"judges";"Majelis hakim akan segera memutuskan kasus tersebut.";The judges will soon decide the case.;"noun"
"majelis tinggi";"high council";"Majelis Tinggi mengadakan pertemuan tertutup.";The High Council held a closed-door meeting.;"noun"
"pemerintah pusat";"central government";"Kebijakan tersebut berasal dari pemerintah pusat.";The policy comes from the central government.;"noun"
"ruang";"room";"Ruang tengah dihiasi dengan bunga-bunga indah.";The living room is decorated with beautiful flowers.;"noun"
"kabupaten";"regency";"Kabupaten ini terkenal dengan pariwisatanya.";This regency is famous for its tourism.;"noun"
"gua";"cave";"Wisatawan menjelajahi gua yang tersembunyi di hutan.";Tourists explore the hidden cave in the forest.;"noun"
"wilayah";"region";"Wilayah ini memiliki keanekaragaman alam yang menakjubkan.";This region has stunning natural diversity.;"noun"
