"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"terbesar";"biggest";"Rumahku adalah yang terbesar di lingkungan."; "My house is the biggest in the neighborhood."; "adjective"
"terakhir";"last";"Ini adalah pertandingan terakhir musim ini."; "This is the last match of the season."; "adjective"
"terbaik";"best";"Dia adalah pemain tenis terbaik di dunia."; "He is the best tennis player in the world."; "adjective"
"terkecil";"smallest";"Kucing ini adalah yang terkecil di antara saudara-saudaranya."; "This cat is the smallest among its siblings."; "adjective"
"terkurus";"skinniest";"Dia dulu lebih gemuk, tapi sekarang dia terkurus."; "She used to be chubby, but now she is the skinniest."; "adjective"
"tergemuk";"fattest";"Babi ini adalah yang tergemuk di peternakan."; "This pig is the fattest in the farm."; "adjective"
"tercepat";"fastest";"Pesawat ini adalah yang tercepat di dunia."; "This plane is the fastest in the world."; "adjective"
"terluas";"widest";"Danau ini adalah yang terluas di negara itu."; "This lake is the widest in the country."; "adjective"
"termurah";"cheapest";"Toko ini menjual produk dengan harga termurah."; "This store sells products at the cheapest prices."; "adjective"
"terpenting";"most important";"Waktu adalah hal yang terpenting dalam hidup."; "Time is the most important thing in life."; "adjective"
"termalas";"laziest";"Dia adalah anak termalas yang pernah aku temui."; "He is the laziest kid I have ever met."; "adjective"
"tajam";"sharp";"Pisau ini sangat tajam."; "This knife is very sharp."; "adjective"
"tumpul";"dull";"Pensil ini sudah tumpul, aku butuhan pengasah."; "This pencil is dull, I need a sharpener."; "adjective"
"terkuat";"strongest";"Harimau adalah hewan yang terkuat di hutan."; "Tigers are the strongest animals in the forest."; "adjective"
"terkaya";"richest";"Dia adalah orang terkaya di negara ini."; "He is the richest person in this country."; "adjective"
"termerah";"reddest";"Bunga mawar ini adalah yang termerah di kebun."; "This rose is the reddest in the garden."; "adjective"
"terdangkal";"shallowest";"Kolam ini adalah yang terdangkal di kompleks ini."; "This pond is the shallowest in this complex."; "adjective"
"terdalam";"deepest";"Danau ini adalah yang terdalam di dunia."; "This lake is the deepest in the world."; "adjective"
"tertua";"oldest";"Dia adalah adik tertua di keluarganya."; "He is the oldest sibling in his family."; "adjective"
"termuda";"youngest";"Anak perempuan itu adalah yang termuda di kelas."; "That girl is the youngest in the class."; "adjective"
