"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"an";"a";"Saya ingin menjadi seorang ahli an";"I want to become an expert";"noun"
"tebakan";"guess";"Mari mainkan permainan tebakan ini";"Let's play this guessing game";"noun"
"perkiraan";"estimate";"Saya memiliki perkiraan bahwa itu akan hujan hari ini";"I have an estimate that it will rain today";"noun"
"terkaan";"guess";"Dia memiliki terkaan yang tepat tentang apa yang terjadi";"He has a correct guess about what's happening";"noun"
"posisi";"position";"Harap duduk di posisi ini";"Please sit in this position";"noun"
"dalam";"in";"Dia berenang dalam kolam renang";"She is swimming in the swimming pool";"preposition"
"balik";"back";"Mari balik ke rumah sekarang";"Let's go back home now";"verb"
"menuju";"towards";"Kita akan menuju dalam perjalanan panjang";"We are going towards a long journey";"preposition"
"kutub";"pole";"Bumi memiliki dua kutub";"The Earth has two poles";"noun"
"jarak";"distance";"Tidak ada jarak terlalu jauh ketika mencari impian Anda";"No distance is too far when pursuing your dreams";"noun"
"kompas";"compass";"Tolong ambil kompas ini sebelum berangkat";"Please take this compass before we leave";"noun"
"Kutub Utara";"North Pole";"Banyak orang ingin mengunjungi Kutub Utara";"Many people want to visit the North Pole";"noun"
"Kutub Selatan";"South Pole";"Itu benar-benar dingin di Kutub Selatan";"It's really cold at the South Pole";"noun"
"lah";"";"";"";"particle"
"jaga";"guard";"Tolong jaga pintu ini";"Please guard this door";"verb"
"panggil";"call";"Saya akan memanggil taksi untuk Anda";"I will call a taxi for you";"verb"
"serang";"attack";"Pasukan itu akan menyerang besok";"The troops will attack tomorrow";"verb"
"tembak";"shoot";"Dia berhasil menembak targetnya dengan tepat";"He successfully shot his target accurately";"verb"
"kumpul";"gather";"Marilah kita kumpul di taman ini";"Let's gather in this park";"verb"
"biar";"let";"Biarlah aku menyelesaikan pekerjaan ini";"Let me finish this job";"verb"
