"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"memuat";"load";"Saya akan memuat foto-foto liburan saya ke dalam album."; "I will load my vacation photos into the album.";"verb"
"pengecas";"charger";"Saya perlu mencari pengecas untuk HP saya yang mati."; "I need to find a charger for my dead phone.";"noun"
"pedang";"sword";"Pahlawan itu mengayunkan pedangnya dengan lihai."; "The hero swung his sword skillfully.";"noun"
"bubuk";"powder";"Bubuk cokelat itu cocok untuk membuat kue."; "The chocolate powder is perfect for making cakes.";"noun"
"album";"album";"Saya akan memasukkan foto-foto kenangan ke dalam album ini."; "I will put the memories' photos into this album.";"noun"
"adaptor";"adapter";"Saya perlu membeli sebuah adaptor untuk laptop saya."; "I need to buy an adapter for my laptop.";"noun"
"tanda";"sign";"Tanda-tanda di jalan itu membantu dalam navigasi."; "The signs on the road assist in navigation.";"noun"
"roda";"wheel";"Roda mobil itu rusak, dan perlu diganti."; "The car's wheel is broken and needs to be replaced.";"noun"
"pulpen";"pen";"Tolong, berikan saya satu pulpen untuk menulis."; "Please, give me one pen for writing.";"noun"
"robot";"robot";"Robot-robot tersebut sedang melakukan tugas mereka dengan baik."; "The robots are performing their tasks well.";"noun"
"benang";"thread";"Saya sedang menjahit menggunakan benang merah ini."; "I am sewing using this red thread.";"noun"
"nyala";"on";"Jangan lupa mematikan lampu setelah selesai menggunakannya."; "Don't forget to turn off the light after using it.";"verb"
"cahaya";"light";"Cahaya matahari terbit membuat pemandangan indah di pantai."; "The light of the sunrise creates a beautiful view at the beach.";"noun"
"padam";"off";"Television itu harus dipadamkan sebelum tidur."; "The television should be turned off before sleeping.";"verb"
"korek api";"lighter";"Apakah kamu punya korek api? Saya ingin merokok."; "Do you have a lighter? I want to smoke.";"noun"
"titik";"point";"Saya ingin menunjukkan sesuatu pada peta ini dengan titik merah."; "I want to indicate something on this map with a red point.";"noun"
"fungsi";"function";"Fungsi ini berperan penting dalam menyelesaikan masalah tersebut."; "This function plays an important role in solving the problem.";"noun"
"material";"material";"Bahan material ini sangat kuat dan tahan lama."; "This material is very strong and durable.";"noun"
"pencarian";"search";"Saya sedang melakukan pencarian informasi di internet."; "I am searching for information on the internet.";"noun"
"teori";"theory";"Teori ini menjelaskan fenomena alam dengan baik."; "This theory explains natural phenomena well.";"noun"
