"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"neraka";"hell";"Saya takut akan masuk neraka";"I am afraid of going to hell";"noun"
"surga";"paradise";"Dia berharap dapat masuk surga";"He hopes to enter paradise";"noun"
"jiwa";"soul";"Jangan biarkan jiwa kamu mati";"Don't let your soul die";"noun"
"candi";"temple";"Kami mengunjungi candi Borobudur";"We visited Borobudur temple";"noun"
"dukun";"traditional healer";"Dia pergi ke dukun untuk menyembuhkan penyakitnya";"He went to a traditional healer to cure his illness";"noun"
"santet";"black magic";"Orang itu menggunakan santet untuk menyakiti orang lain";"That person uses black magic to harm others";"noun"
"hantu";"ghost";"Teman saya takut akan hantu";"My friend is afraid of ghosts";"noun"
"sembahyang";"prayer";"Setiap hari ia melakukan sembahyang";"Every day he performs prayers";"noun"
"khotbah";"sermon";"Pendeta memberikan khotbah yang menginspirasi";"The pastor gave an inspiring sermon";"noun"
"dosa";"sin";"Dia merasa bersalah atas dosa-dosanya";"He feels guilty about his sins";"noun"
"pahala";"rewards";"Berbuat baik akan mendapatkan pahala";"Doing good deeds will earn rewards";"noun"
"natal";"Christmas";"Setiap tahun kami merayakan natal";"Every year we celebrate Christmas";"noun"
"lebaran";"Eid al-Fitr";"Saya pulang kampung saat lebaran";"I go back to my hometown during Eid al-Fitr";"noun"
"paskah";"Easter";"Kami merayakan paskah dengan berdoa dan makan bersama";"We celebrate Easter by praying and having a meal together";"noun"
"merayakan";"celebrating";"Keluarga kami sedang merayakan ulang tahun ibu";"Our family is celebrating our mother's birthday";"verb"
"amal";"charity";"Dia sering melakukan amal kepada orang miskin";"He often gives charity to the poor";"noun"
"sedekah";"alms";"Setiap bulan, kami memberikan sedekah kepada yang membutuhkan";"Every month, we give alms to those in need";"noun"
"Selamat hari natal";"Merry Christmas";"Selamat hari natal kepada semua";"Merry Christmas to everyone";"greeting"
"Dewa Matahari";"Sun God";"Dewa matahari dipuja oleh masyarakat kuno";"The Sun God was worshipped by ancient communities";"noun"
"Dewi Bulan";"Moon Goddess";"Dewi Bulan dikenal sebagai simbol kecantikan";"The Moon Goddess is known as a symbol of beauty";"noun"
