"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sudah biasa";"used to";"Saya sudah biasa makan di sini."; "I am used to eating here."; "phrase"
"sudah cukup";"enough";"Makanan ini sudah cukup."; "This food is enough."; "phrase"
"sudah pernah";"have ever";"Saya sudah pernah melihat film ini."; "I have ever seen this movie."; "phrase"
"suka";"like";"Saya suka makanan pedas."; "I like spicy food."; "verb"
"suka sekali";"love";"Anak saya suka sekali membaca buku."; "My child loves to read books."; "verb"
"suku";"tribe";"Suku Batak tinggal di Sumatera Utara."; "The Batak tribe lives in North Sumatra."; "noun"
"supaya";"so that";"Aku belajar supaya bisa lulus ujian."; "I study so that I can pass the exam."; "conjunction"
"Surat Izin Mengemudi";"Driving License";"Saya harus mengurus Surat Izin Mengemudi."; "I have to process the Driving License."; "noun phrase"
"surat kabar";"newspaper";"Ayah saya selalu membaca surat kabar setiap pagi."; "My father always reads the newspaper every morning."; "noun phrase"
"surat lamaran";"application letter";"Saya harus menulis surat lamaran untuk melamar pekerjaan."; "I have to write an application letter to apply for a job."; "noun phrase"
"Surat Tanda Nomor Kendaraan";"Vehicle Registration Certificate";"Anda harus membawa Surat Tanda Nomor Kendaraan saat berkendara."; "You must bring the Vehicle Registration Certificate when driving."; "noun phrase"
"swasta";"private";"Saya bekerja di perusahaan swasta."; "I work at a private company."; "adjective"
"taat";"obedient";"Anak-anak tersebut harus taat kepada orang tua."; "Those children must be obedient to their parents."; "adjective"
"tablet";"tablet";"Gadis itu menggunakan tablet untuk membaca buku."; "The girl uses a tablet to read books."; "noun"
"tadi";"earlier";"Saya melihatnya tadi di toko."; "I saw him earlier at the store."; "adverb"
"tadi malam";"last night";"Kami menonton film tadi malam."; "We watched a movie last night."; "noun phrase"
"tadi pagi";"this morning";"Saya jogging tadi pagi."; "I went jogging this morning."; "noun phrase"
"tadi siang";"this afternoon";"Saya makan siang tadi siang di restoran."; "I had lunch this afternoon at the restaurant."; "noun phrase"
"Tahun Baru";"New Year";"Kami merayakan Tahun Baru dengan kembang api."; "We celebrate New Year with fireworks."; "noun phrase"
"tahun berapa";"what year";"Saya tidak tahu tahun berapa dia lahir."; "I don't know what year he was born."; "noun phrase"
