"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"begitu";"so";"Aku tidak pernah melihat sesuatu begitu indah.";I have never seen anything so beautiful.";"adverb"
"tak";"not";"Aku tak bisa datang ke pesta malam ini.";I cannot come to the party tonight.";"adverb"
"selamanya";"forever";"Kita akan bersama selamanya.";We will be together forever.";"adverb"
"perlu";"need";"Dia perlu membeli beberapa bahan makanan.";He needs to buy some groceries.";"verb"
"apa saja";"anything";"Kamu bisa memilih apa saja yang mau kamu makan.";You can choose anything you want to eat.";"pronoun"
"apa pun";"whatever";"Apa pun yang terjadi, aku akan selalu ada untukmu.";Whatever happens, I will always be there for you.";"pronoun"
"pelabuhan";"port";"Kapal itu akan berlabuh di pelabuhan besok pagi.";The ship will dock at the port tomorrow morning.";"noun"
"pelayanan";"service";"Pelayanan di restoran ini sangat baik.";The service at this restaurant is excellent.";"noun"
"pemanasan";"heating";"Bisakah kamu menghidupkan pemanasan di ruangan ini?";Can you turn on the heating in this room?";"noun"
"pertemuan";"meeting";"Pertemuan kita akan dimulai dalam beberapa menit.";Our meeting will start in a few minutes.";"noun"
"pemasukan";"income";"Perlu ada pengaturan yang lebih baik mengenai pemasukan dan pengeluaran kita.";There needs to be better management of our income and expenses.";"noun"
"pemilihan";"election";"Pemilihan umum akan dilaksanakan tahun depan.";The general election will be held next year.";"noun"
"pertumbuhan";"growth";"Pertumbuhan ekonomi negara ini meningkat secara signifikan.";The economic growth of this country has increased significantly.";"noun"
"penciuman";"smell";"Dia memiliki penciuman yang sangat tajam.";He has a very sharp sense of smell.";"noun"
"pendengaran";"hearing";"Pendengaran saya terganggu sejak kemarin.";My hearing has been disturbed since yesterday.";"noun"
"pengadilan";"court";"Sidang akan digelar di pengadilan besok.";The trial will be held in court tomorrow.";"noun"
"penginapan";"accommodation";"Kami mencari penginapan yang murah di daerah ini.";We are looking for affordable accommodation in this area.";"noun"
"pengeluaran";"expense";"Kami perlu mengurangi pengeluaran bulanan.";We need to reduce our monthly expenses.";"noun"
"penglihatan";"vision";"Dia memiliki penglihatan yang sangat baik.";He has excellent vision.";"noun"
"penulisan";"writing";"Pendekatan baru diperlukan dalam penulisan ilmiah ini.";A new approach is needed in writing this scientific paper.";"noun"
