"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"Bali";"Bali";"Aku sedang berlibur di Bali.";"I am on vacation in Bali.";"Noun"
"umur";"age";"Berapakah umurmu saat ini?";"What is your age now?";"Noun"
"bagaimana kabarmu ?";"how are you?";"Hai, bagaimana kabarmu?";"Hi, how are you?";"Phrase"
"siapakah";"who";"Siapakah orang di sana?";"Who is that person over there?";"Pronoun"
"berasal";"originate from";"Saya berasal dari Indonesia.";"I originate from Indonesia.";"Verb"
"berumur";"aged";"Ayahku berumur 45 tahun.";"My father is aged 45.";"Verb"
"berusia";"aged";"Kakak perempuanku berusia 30 tahun.";"My older sister is aged 30.";"Verb"
"tidak";"not";"Saya tidak suka makanan pedas.";"I do not like spicy food.";"Adverb"
"di mana";"where";"Di mana tempat pertemuan kita?";"Where is our meeting place?";"Phrase"
"buku";"book";"Aku senang membaca buku.";"I enjoy reading books.";"Noun"
"surat";"letter";"Tolong kirimkan surat ini kepada penerima.";"Please deliver this letter to the recipient.";"Noun"
"menu";"menu";"Apa menu hari ini?";"What is today's menu?";"Noun"
"koran";"newspaper";"Ayahku membaca koran setiap pagi.";"My father reads the newspaper every morning.";"Noun"
"anda";"you";"Apakah anda ingin minum kopi?";"Do you want to drink coffee?";"Pronoun"
"gaun";"dress";"Aku memakai gaun biru untuk pesta.";I wear a blue dress for the party.";"Noun"
"tulis";"write";"Tolong tulis nama Anda di sini.";"Please write your name here.";"Verb"
"sepucuk surat";"a letter";"Dia mengirim sepucuk surat kepada temannya.";"He sent a letter to his friend.";"Noun"
"baca";"read";"Aku suka membaca buku sebelum tidur.";"I like to read books before sleeping.";"Verb"
"selamat pagi";"good morning";"Selamat pagi, semoga hari Anda menyenangkan.";"Good morning, I hope you have a great day.";"Phrase"
"sampai jumpa";"goodbye";"Sampai jumpa, semoga bertemu lagi.";Goodbye, hope to meet again.";"Phrase"
