"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"dampak";"impact";"Dampak penemuan baru ini sangat besar.";"The impact of this new discovery is huge.";"noun"
"energi";"energy";"Penggunaan energi terbarukan dapat mengurangi polusi.";"The use of renewable energy can reduce pollution.";"noun"
"metode";"method";"Metode ini dapat digunakan dalam analisis data.";"This method can be used in data analysis.";"noun"
"analisis";"analysis";"Analisis ini membantu kita memahami data dengan lebih baik.";"This analysis helps us to understand the data better.";"noun"
"rumus";"formula";"Rumus ini digunakan untuk menghitung kecepatan.";"This formula is used to calculate the velocity.";"noun"
"penemuan";"discovery";"Penemuan ini mengubah dunia ilmiah.";"This discovery revolutionized the scientific world.";"noun"
"batas";"boundary";"Batas antara kedua wilayah sedang diselidiki.";"The boundary between the two regions is currently being investigated.";"noun"
"skala";"scale";"Skala gempa ini diukur menggunakan Richter scale.";"The scale of this earthquake is measured using the Richter scale.";"noun"
"lingkaran";"circle";"Luas lingkaran dapat dihitung menggunakan rumus 3.14 x (jari-jari)^2.";"The area of a circle can be calculated using the formula 3.14 x (radius)^2.";"noun"
"segitiga";"triangle";"Teorema Pythagoras berlaku untuk segitiga siku-siku.";"The Pythagorean theorem applies to right triangles.";"noun"
"atmosfer";"atmosphere";"Perubahan iklim dapat mempengaruhi komposisi atmosfer.";"Climate change can affect the composition of the atmosphere.";"noun"
"sinar";"ray";"Cahaya matahari adalah contoh sinar yang alami.";"Sunlight is an example of natural rays.";"noun"
"ilmiah";"scientific";"Metode ilmiah membutuhkan pengujian yang teliti.";"Scientific methods require rigorous testing.";"adjective"
"daftar";"list";"Daftar ini berisi semua bahan yang dibutuhkan.";"This list contains all the required materials.";"noun"
"reaksi";"reaction";"Reaksi kimia ini menghasilkan produk baru.";"This chemical reaction produces a new product.";"noun"
"teknologi";"technology";"Teknologi informasi berkembang pesat dalam beberapa tahun terakhir.";"Information technology has been rapidly advancing in recent years.";"noun"
"grafik";"chart";"Grafik ini menunjukkan hubungan antara dua variabel.";"This chart shows the relationship between two variables.";"noun"
"perhitungan";"calculation";"Perhitungan ini dapat dilakukan menggunakan kalkulator.";"This calculation can be done using a calculator.";"noun"
"sudut";"angle";"Besarnya sudut tertentu dapat diukur menggunakan penggaris sudut.";"The size of a specific angle can be measured using a protractor.";"noun"
"konsep";"concept";"Konsep ini sulit untuk dipahami pada awalnya.";"This concept is difficult to understand at first.";"noun"
