"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"serangga";"insects";"Serangga ini sangat kecil."; "These insects are very small."; "noun"
"ikan hiu";"shark";"Ikan hiu itu sangat besar."; "That shark is very big."; "noun"
"ikan paus";"whale";"Ikan paus itu hidup di laut biru."; "The whale lives in the blue sea."; "noun"
"windu";"century";"Windu pertama dimulai pada tahun 100 sampai 199."; "The first century started from the year 100 to 199."; "noun"
"dekade";"decade";"Dekade ini adalah periode sepuluh tahun."; "This decade is a period of ten years."; "noun"
"abad";"century";"Abad ke-20 adalah abad terakhir."; "The 20th century is the last century."; "noun"
"awal";"early";"Awal pagi diisi dengan semangat baru."; "Early morning is filled with fresh spirits."; "adjective"
"pertengahan";"mid";"Tahun pertengahan adalah saat setengah perjalanan."; "Mid-year is halfway through the journey."; "noun"
"gugur";"fall";"Daun-daun gugur di musim gugur."; "Leaves fall in autumn."; "verb"
"semi";"semi";"Bunga semi memiliki keindahan unik."; "Semi flowers have a unique beauty."; "adjective"
"generasi";"generation";"Generasi muda adalah masa depan negara."; "The younger generation is the future of the nation."; "noun"
"dahulu";"formerly";"Dahulu, kota ini diperintah oleh raja."; "Formerly, this city was ruled by a king."; "adverb"
"jam delapan";"eight o'clock";"Sekarang jam delapan di pagi hari."; "It's currently eight o'clock in the morning."; "noun"
"jam delapan lewat seperempat";"a quarter past eight";"Dia tiba di pesta jam delapan lewat seperempat."; "She arrived at the party a quarter past eight."; "noun"
"jam delapan lebih seperempat";"a quarter to eight";"Kereta tersebut akan berangkat jam delapan lebih seperempat."; "The train will depart a quarter to eight."; "noun"
"setengah sembilan";"half past eight";"Mereka akan berkumpul pukul setengah sembilan."; "They will gather at half past eight."; "noun"
"jam sembilan kurang seperempat";"a quarter to nine";"Ayo pergi sebelum jam sembilan kurang seperempat."; "Let's go before a quarter to nine."; "noun"
"jam sembilan";"nine o'clock";"Pertemuan akan dimulai pukul sembilan."; "The meeting will start at nine o'clock."; "noun"
"pukul sembilan";"nine o'clock";"Acara tersebut dimulai pukul sembilan."; "The event will start at nine o'clock."; "noun"
"umumnya";"generally";"Umumnya, hujan di musim penghujan."; "Generally, it rains during the rainy season."; "adverb"
