"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"tema";"theme";"Tema pesta itu adalah 'Kebudayaan Melayu'.";"The theme of the party is 'Malay Culture'.";"Noun"
"unduh";"download";"Silakan unduh aplikasi resmi kami dari situs web.";"Please download our official application from the website.";"Verb"
"unggah";"upload";"Segera unggah foto Anda ke platform media sosial kami.";"Upload your photo to our social media platform soon.";"Verb"
"pengumuman";"announcement";"Pengumuman penting akan diumumkan pada pertemuan hari ini.";"The important announcement will be made at the meeting today.";"Noun"
"mengontak";"contact";"Jika Anda memiliki pertanyaan, silakan mengontak tim dukungan kami.";"If you have any questions, please contact our support team.";"Verb"
"rahasia";"secret";"Ini adalah rahasia antara kita, jadi jangan beritahu siapa pun.";"This is a secret between us, so don't tell anyone.";"Noun"
"makna";"meaning";"Saya tidak mengerti makna kata-kata yang kamu ucapkan.";"I don't understand the meaning of the words you're saying.";"Noun"
"memasuki";"enter";"Harap memasuki ruangan dengan tenang.";"Please enter the room quietly.";"Verb"
"meliputi";"include";"Paket ini meliputi tiket masuk, makanan, dan minuman.";"This package includes admission tickets, food, and drinks.";"Verb"
"mewakili";"represent";"Saya senang dapat mewakili perusahaan ini dalam konferensi itu.";"I'm glad to represent this company at the conference.";"Verb"
"mengakhiri";"end";"Acara ini akan mengakhiri pertunjukan malam ini.";"The event will end the show tonight.";"Verb"
"mengikuti";"follow";"Harap mengikuti petunjuk yang diberikan oleh instruktur.";"Please follow the instructions given by the instructor.";"Verb"
"mengatasi";"overcome";"Dia berhasil mengatasi rintangan-rintangan yang sulit.";"He managed to overcome the difficult obstacles.";"Verb"
"mengakui";"admit";"Anda harus jujur dan mengakui kesalahan Anda.";"You must be honest and admit your mistakes.";"Verb"
"menghindari";"avoid";"Cobalah menghindari makanan yang mengandung banyak lemak.";"Try to avoid foods that contain a lot of fat.";"Verb"
"mengurangi";"reduce";"Kami harus mengurangi penggunaan plastik sekali pakai.";"We need to reduce the use of single-use plastic.";"Verb"
"menguasai";"master";"Dia benar-benar menguasai bahasa Prancis dengan baik.";"He really masters the French language well.";"Verb"
"mengenai";"regarding";"Saya ingin tahu lebih banyak mengenai proyek ini.";"I want to know more regarding this project.";"Preposition"
"mempelajari";"study";"Saya sedang mempelajari bahasa Jerman di sekolah.";"I am studying the German language at school.";"Verb"
"menyadari";"realize";"Saya baru saja menyadari kesalahan besar yang telah saya lakukan.";"I just realized the big mistake I made.";"Verb"
