"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"siswa";"student";"Siswa itu memiliki seragam baru."; "The student has a new uniform."; "noun"
"Indonesia";"Indonesia";"Saya tinggal di Indonesia."; "I live in Indonesia."; "noun"
"jelaskan";"explain";"Tolong jelaskan maksudmu."; "Please explain your meaning."; "verb"
"papan";"board";"Tulis di papan tulis."; "Write on the board."; "noun"
"kantin";"cafeteria";"Saya suka makan di kantin."; "I like eating at the cafeteria."; "noun"
"seragam";"uniform";"Tidak ada seragam yang tersedia di toko itu."; "There are no uniforms available at that store."; "noun"
"teknik";"technique";"Dia memiliki teknik yang hebat."; "He has a great technique."; "noun"
"penjelasan";"explanation";"Berikan penjelasan yang jelas."; "Give a clear explanation."; "noun"
"perguruan tinggi";"college";"Dia ingin masuk perguruan tinggi terbaik di negara ini."; "He wants to get into the best college in the country."; "noun"
"bab";"chapter";"Saya suka membaca bab terakhir dalam buku ini."; "I enjoy reading the last chapter of this book."; "noun"
"istirahat";"break";"Saya butuh istirahat sebentar."; "I need a short break."; "noun"
"dihukum";"punished";"Dia dihukum karena melanggar peraturan sekolah."; "He was punished for breaking the school rules."; "verb"
"dipanggil";"called";"Siswa itu dipanggil ke kantor kepala sekolah."; "The student was called to the principal's office."; "verb"
"halaman";"page";"Silakan buka halaman 25."; "Please open page 25."; "noun"
"peringkat";"ranking";"Kami memiliki peringkat tertinggi di kelas."; "We have the highest ranking in the class."; "noun"
"wisuda";"graduation";"Dia akan menghadiri upacara wisuda besok."; "He will attend the graduation ceremony tomorrow."; "noun"
"lulus";"graduate";"Dia akan lulus dari sekolah ini bulan depan."; "She will graduate from this school next month."; "verb"
"pekerjaan rumah, PR";"homework";"Saya belum menyelesaikan pekerjaan rumah."; "I haven't finished my homework."; "noun"
"mahasiswi";"female student";"Dia adalah mahasiswi jurusan kedokteran."; "She is a female student majoring in medicine."; "noun"
"siswi";"female student";"Siswa itu adalah siswi terbaik di sekolahnya."; "The student is the best female student in her school."; "noun"
