"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"selamat jalan";"goodbye";"Selamat jalan!";"Goodbye!";"interjection, noun, verb"
"assalamualaikum";"peace be upon you";"Assalamualaikum!";"Peace be upon you!";"greeting, noun"
"selamat siang";"good afternoon";"Selamat siang!";"Good afternoon!";"interjection, noun"
"waalaikumsalam";"and upon you be peace";"Waalaikumsalam!";"And upon you be peace!";"greeting, noun"
"selamat tinggal";"farewell";"Selamat tinggal!";"Farewell!";"interjection, noun"
"selamat malam";"good evening";"Selamat malam!";"Good evening!";"interjection, noun"
"terima kasih banyak";"thank you very much";"Terima kasih banyak!";"Thank you very much!";"phrase, noun, adverb"
"selamat sore";"good evening";"Selamat sore!";"Good evening!";"interjection, noun"
"sampai jumpa lagi";"see you again";"Sampai jumpa lagi!";"See you again!";"verb, noun, adverb"
"salam";"greetings";"Salam!";"Greetings!";"greeting, noun"
"selamat idul fitri";"happy Eid al-Fitr";"Selamat Idul Fitri!";"Happy Eid al-Fitr!";"interjection, noun"
"nasi";"rice";"Bisa saya pesan nasi goreng?";"Can I order fried rice?";"noun"
"pesan";"order";"Saya ingin pesan nasi goreng."; "I would like to order fried rice."; "noun, verb"
"sup";"soup";"Supnya enak."; "The soup is delicious."; "noun"
"tahu";"tofu";"Saya suka tahu sambal."; "I like tofu with chili sauce."; "noun"
"kue";"cake";"Kue itu terlihat enak."; "The cake looks delicious."; "noun"
"enak";"delicious";"Makanan ini sangat enak."; "This food is very delicious."; "adjective"
"cokelat";"chocolate";"Saya suka cokelat."; "I like chocolate."; "noun"
"kecap";"soy sauce";"Tambahkan kecap sedikit."; "Add a little soy sauce."; "noun"
"bayar";"pay";"Saya ingin bayar sekarang."; "I would like to pay now."; "verb"
