"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"selusin";"a dozen";"Saya membeli selusin apel di pasar."; "I bought a dozen apples at the market."; "noun"
"belas";"teens";"Adik saya berusia belas tahun."; "My younger sibling is a teenager."; "numeral"
"kali";"times";"Saya sudah pergi ke Jepang dua kali."; "I have been to Japan twice."; "noun"
"ratus";"hundred";"Dia memiliki uang sebanyak seratus ribu rupiah."; "He has money amounting to one hundred thousand rupiahs."; "numeral"
"ribu";"thousand";"Di acara itu, ada ribuan orang yang hadir."; "There were thousands of people in attendance at the event."; "numeral"
"sejuta";"one million";"Dia telah menjual sejuta produk ini tahun ini."; "He has sold one million of this product this year."; "numeral"
"persen";"percent";"Dia mendapatkan nilai 90 persen dalam ujian itu."; "He scored 90 percent on that exam."; "noun"
"semiliar";"billion";"Pada proyek itu, mereka menghabiskan semiliar dolar."; "On that project, they spent a billion dollars."; "numeral"
"miliar";"trillion";"Angka itu mencapai angka triliunan dalam mata uang lokal."; "The figure reached trillions in the local currency."; "numeral"
"ketiga";"third";"Ini adalah kali ketiga saya mengunjungi tempat ini."; "This is my third time visiting this place."; "numeral"
"ratusan";"hundreds";"Ada ratusan buku di rak ini."; "There are hundreds of books on this shelf."; "numeral"
"puluhan";"tens";"Dalam tugas ini, dia mendapatkan peringkat puluhan."; "In this assignment, he received tens of scores."; "numeral"
"dibagi";"divided";"Saya akan membagi kue ini denganmu."; "I will divide this cake with you."; "verb"
"persentase";"percentage";"Persentase orang yang merokok telah menurun."; "The percentage of people who smoke has decreased."; "noun"
"mengingat";"remembering";"Saya mengingat saat pertama kali bertemu denganmu."; "I remember the first time we met."; "verb"
"menghadap";"facing";"Rumah itu menghadap ke laut."; "The house faces the sea."; "verb"
"menghilang";"disappear";"Dia menghilang tanpa jejak."; "He disappeared without a trace."; "verb"
"mengganti";"replace";"Saya harus mengganti ban mobil yang bocor."; "I have to replace the punctured car tire."; "verb"
"menyentuh";"touch";"Lukamu jangan disentuh."; "Don't touch your wound."; "verb"
"menyewa";"rent";"Dia akan menyewa apartemen di kota itu."; "He will rent an apartment in that city."; "verb"
