"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"penyerangan";"attack";"Serangan itu adalah penyerangan yang brutal";"The attack was a brutal attack";"noun"
"pertarungan";"battle";"Pertarungan itu sangat mematikan";"The battle was very deadly";"noun"
"peraturan";"regulation";"Peraturan ini harus diikuti oleh semua orang";"This regulation must be followed by everyone";"noun"
"perbatasan";"border";"Perbatasan negara itu memisahkan dua wilayah";"The border of the country separates two regions";"noun"
"percakapan";"conversation";"Percakapan mereka sangat menarik dan mendalam";"Their conversation was very interesting and deep";"noun"
"persatuan";"unity";"Persatuan adalah kunci untuk mencapai keberhasilan";"Unity is the key to success";"noun"
"perkembangan";"development";"Perkembangan teknologi sangat pesat";"The development of technology is very rapid";"noun"
"perlawanan";"resistance";"Perlawanan mereka terhadap penindasan sangat gigih";"Their resistance against oppression is very strong";"noun"
"perlombaan";"race";"Perlombaan itu sangat sengit";"The race was very intense";"noun"
"permainan";"game";"Permainan ini sangat seru dan menyenangkan";"This game is very exciting and enjoyable";"noun"
"persahabatan";"friendship";"Persahabatan mereka begitu erat dan tak tergantikan";"Their friendship is so close and irreplaceable";"noun"
"pertahanan";"defense";"Pertahanan negara ini sangat kuat";"The defense of this country is very strong";"noun"
"menakutkan";"frightening";"Kejadian itu benar-benar menakutkan";"The incident was truly frightening";"adjective"
"hati";"heart";"Hatiku dipenuhi dengan kebahagiaan";"My heart is filled with happiness";"noun"
"damai";"peaceful";"Situasi di desa itu sekarang sangat damai";"The situation in that village is now very peaceful";"adjective"
"kaget";"surprised";"Aku sangat kaget mendengar beritanya";"I was very surprised to hear the news";"adjective"
"kejutan";"surprise";"Kejutan itu membuatnya tersenyum bahagia";"The surprise made her smile happily";"noun"
"iri";"jealous";"Dia merasa iri melihat keberhasilan temannya";"She feels jealous seeing her friend's success";"adjective"
"emosi";"emotional";"Dia menunjukkan reaksi emosi saat menerima berita itu";"He showed an emotional reaction when receiving the news";"adjective"
"tegang";"tense";"Atmosfer di ruangan itu terasa tegang";"The atmosphere in the room feels tense";"adjective"
