"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"dikuasai";"dominated";"Negara ini dikuasai oleh kelompok kecil."; "This country is dominated by a small group."; "verb"
"dicapai";"achieved";"Prestasi tersebut dicapai melalui kerja keras."; "The achievement was achieved through hard work."; "verb"
"dijumpai";"encountered";"Banyak kesulitan akan dijumpai dalam perjalanan ini."; "Many difficulties will be encountered on this journey."; "verb"
"disukai";"liked";"Koleksi buku ini sangat disukai oleh pembaca muda."; "This book collection is very liked by young readers."; "verb"
"disetujui";"approved";"Keputusan tersebut telah disetujui oleh semua anggota."; "The decision has been approved by all members."; "verb"
"dimintai";"asked";"Saya akan dimintai izin untuk pergi ke pesta."; "I will be asked for permission to go to the party."; "verb"
"ditandatangani";"signed";"Perjanjian itu harus ditandatangani oleh kedua belah pihak."; "The agreement must be signed by both parties."; "verb"
"diawali";"started";"Acara ini diawali dengan sambutan dari presiden."; "This event is started with a speech from the president."; "verb"
"dilayani";"served";"Dalam restoran ini, Anda akan dilayani dengan baik."; "In this restaurant, you will be served well."; "verb"
"dihadapi";"faced";"Pemerintah sedang mengatasi masalah yang dihadapi oleh masyarakat."; "The government is dealing with problems faced by the community."; "verb"
"dibatasi";"limited";"Akses ke area tersebut akan dibatasi pada hari libur."; "Access to that area will be limited on holidays."; "verb"
"karya";"work";"Pameran ini akan menampilkan banyak karya seni."; "This exhibition will showcase many works of art."; "noun"
"film";"movie";"Film terbaru tersebut mendapatkan banyak penghargaan."; "The latest movie received many awards."; "noun"
"sinetron";"soap opera";"Saya suka menonton sinetron di televisi."; "I like watching soap operas on television."; "noun"
"ritme";"rhythm";"Musik ini memiliki ritme yang menarik."; "This music has an interesting rhythm."; "noun"
"puisi";"poetry";"Dia menulis puisi sebagai bentuk ekspresi diri."; "He writes poetry as a form of self-expression."; "noun"
"artis";"artist";"Dia adalah seorang artis terkenal di industri musik."; "He is a famous artist in the music industry."; "noun"
"cerpen";"short story";"Saya suka membaca cerpen dalam waktu luang."; "I like reading short stories in my free time."; "noun"
"konser";"concert";"Semua tiket untuk konser telah terjual habis."; "All tickets for the concert have been sold out."; "noun"
"peran";"role";"Aktor ini memainkan peran utama dalam drama tersebut."; "This actor plays the lead role in the drama."; "noun"
