"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"menangani";"handle";"Saya harus menangani masalah ini dengan hati-hati.";"I have to handle this problem carefully.";"verb"
"menjalani";"live";"Dia akan menjalani kehidupan yang lebih baik di kota besar.";"He will live a better life in the big city.";"verb"
"menempati";"occupy";"Perusahaan itu akan menempati gedung baru mulai minggu depan.";"The company will occupy the new building starting next week.";"verb"
"menduduki";"occupy";"Pasukan musuh berhasil menduduki kota kecil itu.";"The enemy forces successfully occupied the small town.";"verb"
"mendatangi";"visit";"Saya akan mendatangi rumah saudara saya besok.";"I will visit my relatives' house tomorrow.";"verb"
"walau";"although";"Dia tetap pergi ke pesta walau merasa tidak enak badan.";"He still went to the party although he felt unwell.";"conjuction"
"demi";"for the sake of";"Dia bekerja keras demi kehidupan yang lebih baik.";"He works hard for the sake of a better life.";"preposition"
"debu";"dust";"Lantai harus dibersihkan dari debu setiap hari.";"The floor should be cleaned from dust every day.";"noun"
"terbuat";"made of";"Kursi itu terbuat dari kayu jati yang kuat.";"The chair is made of strong teak wood.";"verb"
"tembaga";"copper";"Mereka membuat perhiasan menggunakan tembaga.";"They make jewelry using copper.";"noun"
"besi";"iron";"Peralatan dapur itu terbuat dari besi yang tahan lama.";"The kitchenware is made of durable iron.";"noun"
"pasir";"sand";"Anak-anak senang bermain pasir di pantai.";"The children enjoy playing with sand at the beach.";"noun"
"karet";"rubber";"Ban mobil terbuat dari karet yang elastis.";"Car tires are made of elastic rubber.";"noun"
"plastik";"plastic";"Botol minuman itu terbuat dari plastik yang ramah lingkungan.";"The drink bottle is made of eco-friendly plastic.";"noun"
"logam";"metal";"Perhiasan itu terbuat dari logam berharga.";"The jewelry is made of precious metal.";"noun"
"senjata";"weapon";"Polisi menemukan senjata ilegal di dalam tas mereka.";"The police found illegal weapons inside their bags.";"noun"
"palang";"barrier";"Palang jalan itu harus dinaikkan agar kendaraan tidak masuk.";"The road barrier must be lifted to prevent vehicles from entering.";"noun"
"kabel";"cable";"Saya perlu memperbaiki kabel yang terputus di rumah.";"I need to fix the disconnected cable at home.";"noun"
"objek";"object";"Museum ini memiliki berbagai objek bersejarah.";"This museum has various historical objects.";"noun"
"nampan";"tray";"Silakan letakkan gelas di atas nampan saat membawakan minuman.";"Please place the glass on the tray when serving the drinks.";"noun"
