"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"menyapa";"greet";"Saya menyapa teman saya di pagi hari.";"I greet my friend in the morning.";"verb"
"mengejar";"chase";"Polisi mengejar pencuri itu di jalan raya.";"The police chase the thief on the highway.";"verb"
"merawat";"take care of";"Ibu merawat anaknya yang sedang sakit.";"The mother takes care of her sick child.";"verb"
"menyala";"light up";"Lampu pijar menyala di rumah-rumah saat malam hari.";"Incandescent lamps light up in houses during the night.";"verb"
"paham";"understand";"Dia tidak paham apa yang sedang kita bicarakan.";"He doesn't understand what we are talking about.";"adjective"
"memahami";"comprehend";"Siswa tersebut sangat cerdas dalam memahami pelajaran.";"The student is very smart in comprehending lessons.";"verb"
"mengenang";"remember";"Kami mengenang kenangan indah bersama.";"We remember the beautiful memories together.";"verb"
"tampan";"handsome";"Pria tersebut sangat tampan dan berwibawa.";"The man is very handsome and charismatic.";"adjective"
"rumit";"complicated";"Masalah ini terlalu rumit untuk diselesaikan dalam waktu singkat.";"This problem is too complicated to be solved quickly.";"adjective"
"ramah";"friendly";"Dokter tersebut sangat ramah terhadap pasiennya.";"The doctor is very friendly towards his patients.";"adjective"
"nakal";"naughty";"Anak laki-laki itu sering kali nakal di sekolah.";"That boy is often naughty at school.";"adjective"
"ragu";"doubt";"Saya merasa ragu apakah saya memilih yang tepat.";"I feel doubt about whether I made the right choice.";"verb"
"mantap";"firm";"Kami memutuskan dengan mantap untuk menerimanya.";"We decide firmly to accept it.";"adjective"
"basah";"wet";"Baju saya basah karena terkena hujan.";"My clothes are wet because of the rain.";"adjective"
"utama";"main";"Penyediaan makanan adalah kebutuhan utama mereka saat ini.";"Food supply is their main necessity at the moment.";"adjective"
"tutup";"close";"Mohon tutup pintu setelah selesai keluar.";"Please close the door after you finish going out.";"verb"
"buka";"open";"Tolong buka jendela agar udara segar masuk.";"Please open the window for fresh air to come in.";"verb"
"ganteng";"handsome";"Kucing tersebut sangat ganteng dan imut.";"The cat is very handsome and cute.";"adjective"
"enteng";"light";"Topi ini sangat enteng dan nyaman dipakai.";"This hat is very light and comfortable to wear.";"adjective"
"seorang";"a person";"Saya melihat seorang wanita berjalan sendirian di jalan.";"I saw a woman walking alone on the street.";"noun"
