"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"dihubungi";"contacted";"Saya akan dihubungi oleh bos."; "I will be contacted by my boss."; "verb"
"diketahui";"known";"Informasi ini sudah diketahui oleh semua orang."; "This information is already known by everyone."; "verb"
"diikuti";"followed";"Dia diikuti oleh sekelompok orang."; "He is followed by a group of people."; "verb"
"disertai";"accompanied";"Paket ini disertai dengan bonus tambahan."; "This package is accompanied by an additional bonus."; "verb"
"diakui";"acknowledged";"Prestasi mereka diakui oleh semua orang."; "Their achievements are acknowledged by everyone."; "verb"
"dimiliki";"owned";"Rumah ini dimiliki oleh keluarga kami."; "This house is owned by our family."; "verb"
"dilengkapi";"equipped";"Barang-barang ini dilengkapi dengan fitur canggih."; "These items are equipped with advanced features."; "verb"
"ditemui";"found";"Kucingku ditemui di taman depan rumah."; "My cat was found in the front yard."; "verb"
"dialami";"experienced";"Kegagalan ini dialami oleh banyak orang."; "This failure is experienced by many people."; "verb"
"dihadiri";"attended";"Acara itu dihadiri oleh ratusan peserta."; "The event was attended by hundreds of participants."; "verb"
"ditangani";"handled";"Masalah ini akan ditangani oleh tim teknis."; "This issue will be handled by the technical team."; "verb"
"dikelilingi";"surrounded";"Rumah mereka dikelilingi oleh pepohonan hijau."; "Their house is surrounded by green trees."; "verb"
"dinamai";"named";"Anak lelakinya dinamai Michael."; "Their son is named Michael."; "verb"
"didampingi";"accompanied";"Saya pergi ke pesta tersebut didampingi oleh teman baikku."; "I went to the party accompanied by my good friend."; "verb"
"dipenuhi";"filled";"Ruang tamu ini dipenuhi dengan barang-barang antik."; "This living room is filled with antique items."; "verb"
"ditandai";"marked";"Tempat ini ditandai dengan tanda agar mudah ditemukan."; "This place is marked with a sign for easy identification."; "verb"
"dilindungi";"protected";"Area ini harus dilindungi dari gangguan."; "This area should be protected from any disturbance."; "verb"
"dipengaruhi";"influenced";"Keputusan ini dipengaruhi oleh penelitian terbaru."; "This decision is influenced by the latest research."; "verb"
"diyakini";"believed";"Tradisi ini diyakini membawa keberuntungan."; "This tradition is believed to bring luck."; "verb"
"dipahami";"understood";"Materi ini harus dipahami sebelum mengikuti ujian."; "This material needs to be understood before taking the exam."; "verb"
