"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"pajak";"tax";"Pajak ini terlalu tinggi.";"This tax is too high.";"noun"
"konsumsi";"consumption";"Konsumsi masyarakat meningkat.";"The consumption of people is increasing.";"noun"
"keuntungan";"profit";"Perusahaan ini mencatat keuntungan besar.";"This company records huge profits.";"noun"
"kekayaan";"wealth";"Mereka hidup dalam kekayaan yang melimpah.";"They live in abundant wealth.";"noun"
"konsumen";"consumer";"Konsumen harus dilindungi dari penipuan.";"Consumers should be protected from fraud.";"noun"
"pengangguran";"unemployment";"Tingkat pengangguran semakin tinggi.";"The unemployment rate is increasing.";"noun"
"penawaran";"supply";"Penawaran produk ini sangat terbatas.";"The supply of this product is very limited.";"noun"
"biaya";"cost";"Biaya hidup di kota besar sangat tinggi.";"The cost of living in big cities is very high.";"noun"
"seekor";"a";"Saya melihat seekor anjing di taman.";"I saw a dog in the park.";"determiner"
"segelas";"a glass of";"Tolong berikan segelas air minum.";"Please give me a glass of water.";"determiner"
"sepucuk";"a (piece of)";"Dia memberikan sepucuk surat untukmu.";"He gave you a letter.";"determiner"
"secangkir";"a cup of";"Saya ingin secangkir kopi hangat.";"I want a cup of hot coffee.";"determiner"
"sepotong";"a piece of";"Tolong berikan sepotong kue ini.";"Please give me a piece of this cake.";"determiner"
"sepiring";"a plate of";"Dia makan sepiring nasi goreng.";"He ate a plate of fried rice.";"determiner"
"butir";"a grain of";"Saya menemukan sebutir beras di lantai.";"I found a grain of rice on the floor.";"determiner"
"selembar";"a sheet of";"Dia mengambil selembar kertas dari printer.";"He took a sheet of paper from the printer.";"determiner"
"sebutir";"a kernel of";"Dia menyentuh sebutir jagung dengan lembut.";"She touched a kernel of corn softly.";"determiner"
"semangkuk";"a bowl of";"Saya ingin makan semangkuk mie kuah.";"I want to eat a bowl of noodle soup.";"determiner"
"lembar";"a piece of";"Tolong berikan lembar catatan ini.";"Please give me a piece of this note.";"determiner"
"sehelai";"a piece of";"Dia memakai sehelai baju putih.";"She wore a piece of white dress.";"determiner"
