"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"main";"play";"Ayo main bersama-sama di taman.";"Let's play together at the park.";"verb"
"beri";"give";"Tolong beri aku satu potong kue.";"Please give me a piece of cake.";"verb"
"pasang";"install";"Saya akan pasang lampu di ruang tamu.";"I will install the light in the living room.";"verb"
"lepas";"release";"Lepas tali dan lepaskan burung itu.";"Untie and release the bird.";"verb"
"pikir";"think";"Saya harus pikir lebih jauh sebelum memutuskan.";"I need to think further before deciding.";"verb"
"simpan";"keep";"Silakan simpan tas ini di lemari.";"Please keep this bag in the wardrobe.";"verb"
"kejar";"chase";"Anjing itu mulai kejar-kejaran dengan kucing.";"The dog started chasing the cat.";"verb"
"potong";"cut";"Tolong potong sayuran kecil-kecil.";"Please cut the vegetables into small pieces.";"verb"
"ambil";"take";"Bolehkah saya ambil buku dari rak?";"May I take the book from the shelf?";"verb"
"lempar";"throw";"Lempar bola itu sejauh mungkin.";"Throw the ball as far as possible.";"verb"
"angkat";"lift";"Tolong angkat koper itu ke lantai atas.";"Please lift the suitcase to the upper floor.";"verb"
"pilih";"choose";"Kamu harus pilih satu warna favorit.";"You have to choose one favorite color.";"verb"
"tidurlah";"sleep";"Anak-anak, tidurlah sekarang.";"Children, go to sleep now.";"verb"
"datanglah";"come";"Datanglah ke pesta ulang tahunku besok.";"Come to my birthday party tomorrow.";"verb"
"jagalah";"take care";"Jagalah adikmu saat aku tidak ada di rumah.";"Take care of your sibling when I'm not home.";"verb"
"jawablah";"answer";"Tolong jawab pertanyaan guru dengan baik.";"Please answer the teacher's question properly.";"verb"
"duduklah";"sit";"Duduklah di kursi yang kosong.";"Please sit on the empty chair.";"verb"
"kumpulkan";"collect";"Kumpulkan semua mainanmu ke dalam kotak.";"Collect all your toys into the box.";"verb"
"bukakan";"open";"Bukakan pintu ketika kamu pulang.";"Open the door when you come back.";"verb"
"pikirkan";"think about";"Silakan pikirkan dengan matang sebelum memutuskan.";"Please think about it carefully before deciding.";"verb"
