"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"timur laut";"northeast";"Rumah kami berada di timur laut kota."; "Our house is located in the northeast of the city.";"nouns"
"tinggal";"live";"Saya tinggal di Bandung."; "I live in Bandung.";"verbs"
"tingkat";"level";"Program ini menawarkan pendidikan tingkat lanjut."; "This program offers advanced level education.";"nouns"
"toko buku";"bookstore";"Saya sering pergi ke toko buku."; "I often go to the bookstore.";"nouns"
"tolong";"please/help";"Tolong bantu saya!"; "Please help me!";"interjection/verb"
"tonikum";"tonic";"Saya minum tonikum setiap hari."; "I drink tonic every day.";"nouns"
"tradisional";"traditional";"Pakaian adat ini sangat tradisional."; "This traditional clothing is very traditional.";"adjective"
"traktir";"treat";"Aku akan mengajak teman-teman untuk traktir."; "I will treat my friends."; "verb"
"traktor";"tractor";"Petani menggunakan traktor untuk membajak sawah."; "Farmers use tractors to plow the fields.";"nouns"
"tugas";"task";"Saya memiliki banyak tugas yang harus diselesaikan."; "I have a lot of tasks that need to be completed.";"nouns"
"tuh";"this";"Tuh buku adalah milik saya."; "This book is mine.";"pronoun"
"tukang kayu";"carpenter";"Ayah saya adalah seorang tukang kayu."; "My father is a carpenter.";"nouns"
"tukang listrik";"electrician";"Kami memanggil tukang listrik untuk memperbaiki lampu."; "We called an electrician to fix the lights.";"nouns"
"tukang masak";"cook";"Ibuku adalah seorang tukang masak hebat."; "My mother is a great cook.";"nouns"
"tulisan";"writing";"Tulisan tanganmu sangat indah."; "Your handwriting is very beautiful.";"nouns"
"turis";"tourist";"Kota ini selalu ramai dengan turis."; "This city is always crowded with tourists.";"nouns"
"turun";"go down";"Ia memutuskan untuk turun dari panggung."; "He decided to go down from the stage.";"verb"
"ucapan";"greeting";"Dia memberikan ucapan selamat kepada para tamu."; "He gave greetings to the guests.";"nouns"
"udah";"already";"Saya sudah makan malam."; "I have already had dinner.";"adverb"
"udara";"air";"Udara di gunung ini sangat segar."; "The air in this mountain is very fresh.";"nouns"
