"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"secara ragu-ragu";"hesitantly";"Tono mengangkat tangannya secara ragu-ragu.";"Tono raised his hand hesitantly.";"adverb"
"si Tono";"Mr. Tono";"Si Tono datang kesini.";"Mr. Tono came here.";"noun phrase"
"Sang raja";"The king";"Sang raja memerintah dengan bijaksana.";"The king ruled wisely.";"noun phrase"
"Sang ratu";"The queen";"Sang ratu memakai mahkota indah di kepalanya.";"The queen wore a beautiful crown on her head.";"noun phrase"
"Sang pangeran";"The prince";"Sang pangeran menunggang kuda putih.";"The prince rode a white horse.";"noun phrase"
"lagi pula";"moreover";"Dia sudah sangat lelah, lagi pula cuaca sangat panas.";"He is already very tired, moreover the weather is very hot.";"conjunctive adverb"
"tertutup";"closed";"Pintu kamar tertutup rapat.";"The room door is tightly closed.";"adjective"
"tertulis";"written";"Naskah itu tertulis dalam bahasa Inggris.";"The manuscript is written in English.";"adjective"
"terjatuh";"fallen";"Buku itu terjatuh dari meja.";"The book has fallen from the table.";"adjective"
"tertentu";"specific";"Rencananya sudah ditentukan pada waktu tertentu.";"The plan has been determined at a specific time.";"adjective"
"terisi";"filled";"Gelas itu terisi penuh dengan air.";"The glass is filled with water.";"adjective"
"teringat";"remembered";"Aku teringat akan masa kecilku.";"I remembered my childhood.";"verb"
"terkirim";"sent";"Surat itu telah terkirim kemarin.";"The letter has been sent yesterday.";"verb"
"tersimpan";"stored";"Buku-buku itu tersimpan di lemari.";"The books are stored in the cupboard.";"verb"
"terkait";"related";"Masalah ini terkait dengan topik pembicaraan kita.";"This issue is related to our topic of conversation.";"verb"
"terlibat";"involved";"Dia tidak ingin terlibat dalam perselisihan mereka.";"He doesn't want to get involved in their argument.";"verb"
"senyum";"smile";"Dia memberikan senyum manis kepada tamu-tamu.";"She gave a sweet smile to the guests.";"noun"
"terdiri atas";"consist of";"Buku ini terdiri atas lima bab.";"This book consists of five chapters.";"verbal phrase"
"terdiri dari";"composed of";"Kue ini terdiri dari tepung, gula, dan telur.";"This cake is composed of flour, sugar, and eggs.";"verbal phrase"
"kerjakan";"do";"Tolong kerjakan pekerjaan ini secepatnya.";"Please do this job as soon as possible.";"verb"
