"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"dilahirkan";"born";"Dia dilahirkan di rumah sakit";"He was born in the hospital";"verb"
"digantikan";"replaced";"Dia digantikan oleh orang lain";"He was replaced by someone else";"verb"
"mengejutkan";"surprising";"Berita itu sangat mengejutkan";"That news is very surprising";"adjective"
"memimpikan";"dreaming";"Dia memimpikan masa depan yang cerah";"She is dreaming of a bright future";"verb"
"senyuman";"smile";"Dia memberikan senyuman kepada semua orang";"He gives a smile to everyone";"noun"
"mengharapkan";"hoping";"Kami mengharapkan kehadirannya di acara tersebut";"We are hoping for his presence at the event";"verb"
"tawa";"laughter";"Suaranya penuh dengan tawa";"Her voice is full of laughter";"noun"
"harapan";"hope";"Semoga harapanmu terwujud";"May your hope come true";"noun"
"mengantuk";"sleepy";"Saya merasa sangat mengantuk";"I feel very sleepy";"adjective"
"aroma";"aroma";"Aroma kue itu sangat menggoda";"The aroma of the cake is very tempting";"noun"
"humor";"humor";"Dia memiliki selera humor yang baik";"He has a good sense of humor";"noun"
"ingatan";"memory";"Ingatan masa kecilku sangat jelas";"My childhood memory is very clear";"noun"
"dipercaya";"trusted";"Mereka adalah tim yang dipercaya";"They are a trusted team";"verb"
"peka";"sensitive";"Dia sangat peka terhadap perasaan orang lain";"He is very sensitive to other people's feelings";"adjective"
"gugup";"nervous";"Dia terlihat gugup saat berbicara di depan umum";"She looks nervous when speaking in public";"adjective"
"murung";"depressed";"Dia tampak murung belakangan ini";"He has been looking depressed lately";"adjective"
"respek";"respect";"Dia mendapatkan respek dari semua orang";"He earns respect from everyone";"noun"
"benci";"hate";"Saya benar-benar benci makanan pedas";"I truly hate spicy food";"verb"
"penasaran";"curious";"Aku penasaran akan hasilnya";"I am curious about the result";"adjective"
"mengagetkan";"surprising";"Keputusannya benar-benar mengagetkan";"His decision is truly surprising";"adjective"
