"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"memesan";"order";"Saya ingin memesan satu nasi kuning dan satu daging ayam panggang";"I want to order one nasi kuning and one grilled chicken";"verb, noun"
"daftar minuman";"drinks menu";"Bisakah saya melihat daftar minuman?";"Can I see the drinks menu?";"noun"
"daging ayam";"chicken meat";"Pelayan, tolong bawa daging ayam panggang ke meja ini";"Waiter, please bring the grilled chicken to this table";"noun"
"jus jeruk";"orange juice";"Satu jus jeruk, terima kasih";"One orange juice, please";"noun"
"sedap";"tasty";"Makanan di restoran ini sangat sedap";"The food in this restaurant is very tasty";"adjective"
"nikmat";"delicious";"Saya merasa nikmat saat makan roti pisang";"I feel delicious while eating banana bread";"adjective"
"susu cokelat";"chocolate milk";"Anak-anak suka minum susu cokelat setiap pagi";"Kids like to drink chocolate milk every morning";"noun"
"lada";"pepper";"Tolong berikan garam dan lada ke meja ini";"Please bring salt and pepper to this table";"noun"
"roti kacang";"peanut bread";"Saya suka makan roti kacang sebagai camilan";"I like to eat peanut bread as a snack";"noun"
"roti pisang";"banana bread";"Roti pisang ini terbuat dari pisang segar";"This banana bread is made from fresh bananas";"noun"
"es teh";"iced tea";"Es teh adalah minuman favorit saya di musim panas";"Iced tea is my favorite drink in the summer";"noun"
"es kopi";"iced coffee";"Saya memesan satu gelas es kopi";"I order one glass of iced coffee";"noun"
"es krim";"ice cream";"Anak-anak senang makan es krim di taman bermain";"Kids enjoy eating ice cream at the playground";"noun"
"teh manis";"sweet tea";"Biasanya teh manis disajikan dengan es batu";"Usually sweet tea is served with ice cubes";"noun"
"teh tawar";"plain tea";"Saya lebih suka minum teh tawar daripada teh manis";"I prefer drinking plain tea over sweet tea";"noun"
"kecap manis";"sweet soy sauce";"Kecap manis ini sangat enak dengan nasi goreng";"This sweet soy sauce pairs well with fried rice";"noun"
"kecap asin";"salty soy sauce";"Tambahkan sedikit kecap asin ke mie goreng ini";"Add a little bit of salty soy sauce to this fried noodles";"noun"
"beras";"rice";"Tolong bawa dua bungkus beras ke meja nomor 5";"Please bring two packs of rice to table number 5";"noun"
"nasi kuning";"yellow rice";"Nasi kuning adalah hidangan khas Indonesia";"Yellow rice is a typical Indonesian dish";"noun"
"ayam panggang";"grilled chicken";"Saya akan makan ayam panggang malam ini";"I will eat grilled chicken tonight";"noun"
