words in indonesian;words in english;sentence in indonesian using the words;english translation;part of speech of the words
"keponakan";"nephew/niece";"Keponakan saya suka bermain di taman."; "My nephew/niece likes to play at the park.";noun
"adalah";"is";"Dia adalah seorang dokter yang baik."; "He/She is a good doctor.";verb
"sepupu";"cousin";"Dia adalah sepupu saya yang tinggal di kota."; "He/She is my cousin who lives in the city.";noun
"putra";"son";"Dia adalah putra tunggal keluarga itu."; "He is the only son of that family.";noun
"putri";"daughter";"Putri saya bermain di halaman belakang."; "My daughter is playing in the backyard.";noun
"saudari";"sister";"Saudari saya adalah orang yang paling baik hati."; "My sister is the kindest person.";noun
"tante";"aunt";"Tante Lisa bekerja sebagai seorang guru."; "Aunt Lisa works as a teacher.";noun
"abang";"older brother";"Abang saya sedang belajar di perpustakaan."; "My older brother is studying at the library.";noun
"melahirkan";"give birth";"Ibu saya akan melahirkan sebentar lagi."; "My mother will give birth soon.";verb
"hamil";"pregnant";"Saya sangat senang mendengar dia sedang hamil."; "I am very happy to hear that she is pregnant.";adjective
"mertua";"in-laws";"Mertua saya tinggal di luar kota."; "My in-laws live outside the city.";noun
"menantu";"son/daughter-in-law";"Menantu saya adalah seorang dokter hebat."; "My son/daughter-in-law is a great doctor.";noun
"ipar";"brother/sister-in-law";"Ipar saya akan datang berkunjung besok."; "My brother/sister-in-law will come visit tomorrow.";noun
"bapak";"father";"Bapak saya pergi ke kantor sejak pagi."; "My father went to the office since morning.";noun
"ibunda";"mother";"Ibunda saya sedang memasak di dapur."; "My mother is cooking in the kitchen.";noun
"bunda";"mom";"Bunda memberikan saya hadiah ulang tahun yang indah."; "Mom gave me a beautiful birthday present.";noun
"kemenakan";"nephew/niece";"Kemenakan saya suka bermain bola."; "My nephew/niece likes to play soccer.";noun
"meninggal dunia";"passed away";"Kakek saya meninggal dunia tahun lalu."; "My grandfather passed away last year.";verb
"mati";"die";"Dia mati dalam kecelakaan mobil."; "He/She died in a car accident.";verb
"labu";"pumpkin";"Saya membuat sup labu untuk makan malam."; "I am making pumpkin soup for dinner.";noun
