"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"rute";"route";"Saya akan menentukan rute tercepat."; "I will determine the fastest route.";"noun"
"jawa";"java";"Saya berasal dari pulau Jawa."; "I come from the island of Java.";"noun"
"penjara";"prison";"Dia dipenjara selama lima tahun."; "He was imprisoned for five years.";"noun"
"aula";"hall";"Pesta akan diadakan di aula sekolah."; "The party will be held at the school hall.";"noun"
"kematian";"death";"Kematian adalah bagian alami dari hidup."; "Death is a natural part of life.";"noun"
"kebaikan";"goodness";"Dia selalu menunjukkan kebaikan kepada orang lain."; "He always shows goodness to others.";"noun"
"keberuntungan";"luck";"Dia memiliki keberuntungan besar dalam hidupnya."; "He has great luck in his life.";"noun"
"kebiasaan";"habit";"Berpantang makanan pedas adalah salah satu kebiasaan saya."; "Avoiding spicy food is one of my habits.";"noun"
"kebenaran";"truth";"Hanya kebenaran yang akan muncul pada akhirnya."; "Only the truth will eventually emerge.";"noun"
"keburukan";"badness";"Kita harus berusaha menghindari keburukan."; "We should strive to avoid badness.";"noun"
"keindahan";"beauty";"Lukisan ini menggambarkan keindahan alam."; "This painting depicts the beauty of nature.";"noun"
"keperluan";"necessity";"Saya harus memenuhi keperluan sehari-hari saya."; "I have to meet my daily necessities.";"noun"
"bermain-main";"play around";"Jangan terlalu sering bermain-main."; "Don't play around too often.";"verb"
"berjaga-jaga";"be cautious";"Kita harus berjaga-jaga terhadap bahaya."; "We should be cautious of dangers.";"verb"
"berhati-hati";"be careful";"Dia perlu berhati-hati dalam mengambil keputusan."; "He needs to be careful in making decisions.";"verb"
"berpura-pura";"pretend";"Dia sering berpura-pura tidak tahu apa-apa."; "He often pretends to know nothing.";"verb"
"berturut-turut";"consecutively";"Dia memenangkan perlombaan berturut-turut."; "He won the competition consecutively.";"adverb"
"kelompok";"group";"Mereka bekerja dalam kelompok yang terorganisir."; "They work in an organized group.";"noun"
"penduduk";"resident";"Penduduk desa sangat ramah."; "The village residents are very friendly.";"noun"
"populasi";"population";"Populasi kota ini semakin meningkat."; "The population of this city is increasing.";"noun"
