"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"apel";"apple";"Aku punya sebuah apel.";I have an apple.;noun
"jeruk";"orange";"Andi menyenangi jeruk.";Andi likes oranges.;noun
"punya";"have";"Tini ingin punya kucing.";Tini wants to have a cat.;verb
"kucing";"cat";"Kucing itu milikku.";The cat belongs to me.;noun
"aku";"I";"Aku ingin memakan apel.";I want to eat the apple.;pronoun
"memakan";"eat";"Andi memakan sebuah apel.";Andi eats an apple.;verb
"menyenangi";"like";"Tini menyenangi kucing.";Tini likes cats.;verb
"ingin";"want";"Aku ingin memiliki kucing.";I want to own a cat.;verb
"kalian";"you all";"Kalian punya sebuah jeruk.";You all have an orange.;pronoun
"milik";"belongs to";"Kucing itu milik Andi.";The cat belongs to Andi.;verb
"memiliki";"own";"Andi ingin memiliki kucing itu.";Andi wants to own that cat.;verb
"mempunyai";"have";"Tini mempunyai sebuah jeruk.";Tini has an orange.;verb
"meminum";"drink";"Aku ingin meminum air.";I want to drink water.;verb
"ia";"he/she";"Ia memakan sebutir apel.";He/she eats a piece of apple.;pronoun
"sebuah apel";"an apple";"Andi mempunyai sebuah apel.";Andi has an apple.;noun
"sebutir apel";"a piece of apple";"Tini memakan sebutir apel.";Tini eats a piece of apple.;noun
"tersebut";"that";"Aku ingin meminum air tersebut.";I want to drink that water.;pronoun
"halo";"hello";"Halo! Apel itu milikku.";Hello! That apple is mine.;interjection
"Andi";"Andi";"Andi punya jeruk.";Andi has an orange.;proper noun
"Tini";"Tini";"Tini punya kucing.";Tini has a cat.;proper noun
