"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sebatang";"a piece of";"Saya membeli sebatang pensil di toko.";"I bought a pencil at the store.";"noun"
"helai";"a strand of";"Dia menemukan helai rambut di jalan.";"He found a strand of hair on the road.";"noun"
"batang";"a stem";"Tumbuhan ini memiliki batang yang kuat.";"This plant has a strong stem.";"noun"
"sebuah";"a";"Dia memberikan sebuah buku kepada saya.";"He gave me a book.";"adjective"
"sejumlah";"a number of";"Ada sejumlah orang di ruangan itu.";"There are a number of people in the room.";"determiner"
"diperkuat";"strengthened";"Gedung itu diperkuat dengan struktur baja.";"The building was strengthened with steel structure.";"verb"
"diperoleh";"obtained";"Pengetahuan dapat diperoleh melalui pembelajaran.";"Knowledge can be obtained through learning.";"verb"
"diperlemah";"weakened";"Pasukan musuh diperlemah oleh serangan kami.";"The enemy troops were weakened by our attack.";"verb"
"diperpanjang";"extended";"Waktu tenggatnya diperpanjang menjadi dua minggu.";"The deadline was extended to two weeks.";"verb"
"diperpendek";"shortened";"Deretan kata itu harus diperpendek agar muat.";"The line of words needs to be shortened to fit.";"verb"
"diperbanyak";"increased";"Produksi padi harus diperbanyak untuk memenuhi kebutuhan.";"Rice production needs to be increased to meet the demand.";"verb"
"dipermudah";"simplified";"Prosedur pendaftaran telah dipermudah.";"The registration process has been simplified.";"verb"
"dipersulit";"complicated";"Peraturan baru mempersulit bisnis kecil.";"The new regulations complicate small businesses.";"verb"
"diperkecil";"reduced";"Besar gambarnya harus diperkecil agar sesuai.";"The picture size needs to be reduced to fit.";"verb"
"dipercepat";"accelerated";"Perkembangan teknologi terus dipercepat.";"Technological advancements are being accelerated.";"verb"
"diperbesar";"enlarged";"Angka-angka tersebut perlu diperbesar untuk jelas terbaca.";"The numbers need to be enlarged for better readability.";"verb"
"diperlambat";"slowed down";"Kendaraan itu diperlambat ketika mendekati lampu merah.";"The vehicle slowed down when approaching the traffic light.";"verb"
"diperburuk";"worsened";"Keadaan ekonomi semakin diperburuk oleh krisis ini.";"The economic situation is further worsened by this crisis.";"verb"
"diperluas";"expanded";"Jalur kereta api akan diperluas untuk meningkatkan kapasitas.";"The railway line will be expanded to increase capacity.";"verb"
"diperketat";"tightened";"Keamanan diperketat setelah insiden tersebut.";"Security was tightened after the incident.";"verb"
