"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"digunakan";"used";"Sepatu yang digunakan sangat nyaman.";"The shoes used are very comfortable.";"verb"
"dicek";"checked";"Barang-barang penting harus dicek sebelum pergi.";"Important items need to be checked before leaving.";"verb"
"dihasilkan";"produced";"Minyak kelapa dihasilkan dari kelapa.";"Coconut oil is produced from coconuts.";"verb"
"dipromosikan";"promoted";"Dia akan dipromosikan menjadi manajer.";"He will be promoted to manager.";"verb"
"dahi";"forehead";"Tanda di dahi melambangkan kepercayaan.";"The mark on the forehead symbolizes belief.";"noun"
"cium";"kiss";"Dia suka mencium bunga-bunga di taman.";"She likes to kiss the flowers in the garden.";"verb"
"bau";"smell";"Bau makanan di restoran itu sangat sedap.";"The smell of food at that restaurant is very delicious.";"noun"
"sikut";"elbow";"Ketika jatuh, dia terluka pada sikutnya.";"When he fell, he injured his elbow.";"noun"
"pergelangan";"wrist";"Ia mengalami nyeri pada pergelangan tangannya.";"He experienced pain in his wrist.";"noun"
"telapak";"palm";"Buah yang paling enak adalah buah di telapak tangan.";"The most delicious fruit is the one in the palm of your hand.";"noun"
"kuku";"nail";"Kuku-kuku tangannya dilukis dengan warna-warna cerah.";"Her nails are painted with bright colors.";"noun"
"paru";"lung";"Merokok dapat merusak paru-paru kamu.";"Smoking can damage your lungs.";"noun"
"organ";"organ";"Jantung adalah salah satu organ penting dalam tubuh manusia.";"The heart is one of the important organs in the human body.";"noun"
"badan";"body";"Olahraga rutin sangat baik untuk kesehatan badan.";"Regular exercise is very good for body health.";"noun"
"kening";"eyebrow";"Bulu mata dan kening adalah fitur wajah yang menarik.";"Eyelashes and eyebrows are attractive facial features.";"noun"
"jidat";"forehead";"Dia memiliki kerutan di jidatnya yang membuatnya terlihat tua.";"She has wrinkles on her forehead that make her look old.";"noun"
"alis mata";"eyebrow";"Dia menggunakan pensil alis untuk merapikan alis matanya.";"She uses an eyebrow pencil to tidy up her eyebrows.";"noun"
"kuping";"ear";"Dia sering memakai headphone sehingga kupingnya terasa sakit.";"She often wears headphones, so her ears feel sore.";"noun"
"belakang";"back";"Lukanya ada di bagian belakang tubuhnya.";"Her injury is on the back of her body.";"noun"
"gelang";"bracelet";"Ibu memberikan gelang emas sebagai hadiah ulang tahun.";"Mom gave a gold bracelet as a birthday gift.";"noun"
