"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"diperkaya";"enriched";"Ibu itu diperkaya dengan pengetahuan baru."; "The mother is enriched with new knowledge."; "Verb"
"kompetisi";"competition";"Ayo kita ikut kompetisi ini!"; "Let's participate in this competition!"; "Noun"
"menendang";"kick";"Anak itu suka menendang bola."; "The child enjoys kicking the ball."; "Verb"
"balapan";"race";"Mereka berlomba balapan di sirkuit."; "They raced in the circuit."; "Noun"
"gol";"goal";"Pemain itu mencetak gol yang indah."; "That player scored a beautiful goal."; "Noun"
"aba-aba";"command";"Pelatih memberikan aba-aba berhenti."; "The coach gives the command to stop."; "Noun"
"memenangi";"win";"Tim kita berhasil memenangi pertandingan itu."; "Our team successfully won the match."; "Verb"
"raket";"racket";"Saya kehilangan raket saya di lapangan tenis."; "I lost my racket on the tennis court."; "Noun"
"hak";"right";"Setiap warga negara memiliki hak yang sama."; "Every citizen has the same rights."; "Noun"
"kekuasaan";"power";"Pemerintah harus menggunakan kekuasaan dengan bijaksana."; "The government must use power wisely."; "Noun" 
"kewajiban";"obligation";"Setiap orang memiliki kewajiban untuk menjaga lingkungan."; "Everyone has an obligation to protect the environment."; "Noun"
"revolusi";"revolution";"Negara itu mengalami revolusi politik yang besar."; "The country underwent a major political revolution."; "Noun"
"partai";"party";"Partai politik akan mengadakan pertemuan besar."; "The political party will hold a grand meeting."; "Noun"
"keadilan";"justice";"Keadilan harus ditegakkan untuk semua orang."; "Justice must be upheld for everyone."; "Noun"
"krisis";"crisis";"Negara itu sedang menghadapi krisis ekonomi yang serius."; "The country is facing a serious economic crisis."; "Noun"
"politik";"politics";"Dia memiliki minat yang besar dalam dunia politik."; "He has a great interest in the world of politics."; "Noun"
"kementerian";"ministry";"Kementerian Kesehatan menangani masalah kesehatan masyarakat."; "The Ministry of Health handles public health issues."; "Noun"
"kekerasan";"violence";"Kekerasan harus dihentikan untuk mencapai perdamaian."; "Violence must be stopped to achieve peace."; "Noun"
"konflik";"conflict";"Negara itu sedang dalam konflik bersenjata."; "The country is in an armed conflict."; "Noun"
"mayoritas";"majority";"Mayoritas orang setuju dengan keputusan itu."; "The majority of people agree with that decision."; "Noun"
