"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"wajan";"pan";"Saya memasak menggunakan wajan.";I cook using a pan.;"noun"
"selai";"jam";"Saya menyukai roti dengan selai.";I like bread with jam.;"noun"
"mi";"noodles";"Mi goreng adalah hidangan favorit saya.";Fried noodles are my favorite dish.;"noun"
"terung";"eggplant";"Sayur asem menggunakan terung sebagai salah satu bahan.";Sour vegetable soup uses eggplant as one of the ingredients.;"noun"
"bawang";"onion";"Saya tidak suka bawang merah.";I don't like red onions.;"noun"
"bubur";"porridge";"Bubur ayam adalah hidangan sarapan yang populer.";Chicken porridge is a popular breakfast dish.;"noun"
"keju";"cheese";"Pizza tidak lengkap tanpa keju.";Pizza is not complete without cheese.;"noun"
"pasta";"pasta";"Saya suka pasta carbonara.";I like carbonara pasta.;"noun"
"spageti";"spaghetti";"Spageti bolognese adalah hidangan Italia yang terkenal.";Bolognese spaghetti is a famous Italian dish.;"noun"
"brokoli";"broccoli";"Sayur pelengkap untuk hidangan malam saya adalah brokoli.";The side dish for my dinner is broccoli.;"noun"
"ubi";"sweet potato";"Kue ubi manis adalah makanan penutup yang lezat.";Sweet potato cake is a delicious dessert.;"noun"
"gurih";"savory";"Rasa gurih pada masakan itu membuatnya nikmat.";The savory taste of the dish makes it delicious.;"adjective"
"jika";"if";"Jika kamu pergi, aku akan merindukanmu.";If you go, I will miss you.;"conjunction"
"yaitu";"that is";"Saya membutuhkan beberapa bahan untuk masakan ini, yaitu daging sapi dan bawang.";I need some ingredients for this dish, that is beef and onions.;"conjunction"
"profesi";"profession";"Banyak orang berbeda-beda dalam memilih profesi.";Many people have different preferences in choosing a profession.;"noun"
"karier";"career";"Dia memiliki karier yang sukses di bidang musik.";He has a successful career in music.;"noun"
"nelayan";"fisherman";"Kakek saya adalah seorang nelayan yang hebat.";My grandfather is a great fisherman.;"noun"
"tukang";"worker";"Tukang kayu membuat meja baru untuk rumah kami.";The carpenter is making a new table for our house.;"noun"
"raja";"king";"Raja itu memiliki banyak kekayaan.";The king has a lot of wealth.;"noun"
"pangeran";"prince";"Putra mahkota akan menjadi pangeran di masa depan.";The crown prince will become a prince in the future.;"noun"
