"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"temperatur";"temperature";"Suhu di luar sangat tinggi hari ini.";"The temperature outside is very high today.";"Noun"
"badai";"storm";"Badai besar sedang mendekati pantai.";"A big storm is approaching the coast.";"Noun"
"lubang";"hole";"Anjing itu sedang menggali lubang di taman.";"The dog is digging a hole in the garden.";"Noun"
"samudra";"ocean";"Kami akan berlayar menyeberangi samudra itu.";"We will sail across the ocean.";"Noun"
"suhu";"temperature";"Apakah kamu tahu suhu tubuhmu sekarang?";"Do you know your body temperature now?";"Noun"
"padang pasir";"desert";"Dia pernah menjelajahi padang pasir Sahara.";"He once explored the Sahara desert.";"Noun"
"komunikasi";"communication";"Komunikasi yang baik sangat penting dalam hubungan.";"Good communication is essential in a relationship.";"Noun"
"pers";"press";"Pers dilarang masuk ke konferensi tersebut.";"The press is prohibited from entering the conference.";"Noun"
"suara";"sound";"Anjing itu mengeluarkan suara yang aneh.";"The dog made a strange sound.";"Noun"
"massa";"mass";"Massa benda itu sangat besar.";"The mass of that object is very large.";"Noun"
"teriak";"shout";"Dia mulai menge-teriak ketika melihat laba-laba di dinding.";"She started to shout when she saw the spider on the wall.";"Verb"
"merekam";"record";"Saya akan merekam pidato mereka secara diam-diam.";"I will secretly record their speeches.";"Verb"
"diam";"silent";"Dia memilih untuk diam sepanjang pertemuan tersebut.";"He chose to remain silent throughout the meeting.";"Adjective"
"arti";"meaning";"Tolong jelaskan arti kata tersebut.";"Please explain the meaning of that word.";"Noun"
"pemberitahuan";"announcement";"Pemberitahuan penting akan diberikan besok.";"An important announcement will be made tomorrow.";"Noun"
"situs";"website";"Apakah kamu tahu alamat situs mereka?";"Do you know their website address?";"Noun"
"debat";"debate";"Debat antara dua politisi itu sangat seru.";"The debate between the two politicians was very exciting.";"Noun"
"argumen";"argument";"Dia memiliki argumen yang kuat untuk pendapatnya.";"He has a strong argument for his opinion.";"Noun"
"judul";"title";"Buku ini memiliki judul yang menarik.";"This book has an interesting title.";"Noun"
"artikel";"article";"Saya menulis artikel tersebut untuk majalah nasional.";"I wrote that article for a national magazine.";"Noun"
