"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"ratu";"queen";"Si Ratu memberikan instruksi kepada para pembeli."; "The Queen gave instructions to the buyers.";"noun"
"hakim";"judge";"Hakim memberikan putusan atas kasus tersebut."; "The judge gave a verdict on the case.";"noun"
"pembeli";"buyer";"Seorang pembeli datang ke toko itu."; "A buyer came to the shop.";"noun"
"pemilik";"owner";"Pemilik rumah tersebut sangat murah hati."; "The owner of the house is very generous.";"noun"
"jurnalis";"journalist";"Jurnalis melaporkan berita di depan gedung itu."; "The journalist reported the news in front of the building.";"noun"
"pejabat";"officer";"Pejabat tersebut bertugas mengurus administrasi."; "The officer is in charge of administrative affairs.";"noun"
"prajurit";"soldier";"Para prajurit sedang melakukan latihan."; "The soldiers are conducting a training.";"noun"
"pemikir";"thinker";"Dia adalah seorang pemikir terkenal di bidang sains."; "He is a famous thinker in the field of science.";"noun"
"dokter umum";"general practitioner";"Dokter umum itu melayani pasien dengan penuh perhatian."; "The general practitioner cares for patients with full attention.";"noun"
"tiukang daging";"butcher";"Tukang daging itu mengiris daging dengan cekatan."; "The butcher slices the meat skillfully.";"noun"
"tukang jagal";"slaughterer";"Tukang jagal sedang bekerja di tempat pemotongan hewan."; "The slaughterer is working at the animal slaughterhouse.";"noun"
"tukang susu";"milkman";"Tukang susu mengantar susu setiap pagi."; "The milkman delivers milk every morning.";"noun"
"tukang jual";"vendor";"Para tukang jual berjejer di pinggir jalan."; "The vendors line up along the road.";"noun"
"bulan";"month";"Bulan November adalah bulan yang paling dingin di tahun ini."; "November is the coldest month of this year.";"noun"
"petang";"evening";"Kami berkumpul di taman pada petang hari."; "We gather in the park in the evening.";"noun"
"kemarau";"dry season";"Kemarau telah tiba dan air semakin sulit ditemukan."; "The dry season has arrived and water is becoming scarce.";"noun"
"minggu";"week";"Sekarang kami sedang dalam minggu ujian."; "We are currently in the week of exams.";"noun"
"setidaknya";"at least";"Setidaknya tiga orang harus hadir dalam rapat ini."; "At least three people must attend this meeting.";"adverb"
"lagi-lagi";"once again";"Lagi-lagi, Tim sini berhasil memperoleh kemenangan itu."; "Once again, the team here managed to achieve that victory.";"adverb"
"dimulai";"begins";"Pertunjukan akan dimulai dalam waktu lima menit."; "The show will begin in five minutes.";"verb"
