"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kuku tangan";"fingernails";"Guntinglah kuku tanganmu sebelum makan."; "Trim your fingernails before eating."; "noun, noun"
"telapak kaki";"soles of the feet";"Berjalanlah dengan merasakan tekanan pada telapak kaki."; "Walk while feeling the pressure on the soles of your feet."; "noun, noun"
"tapak kaki";"footprint";"Polisi memeriksa tapak kaki di tempat kejadian."; "The police are examining the footprints at the crime scene."; "noun, noun"
"telapak tangan";"palm of the hand";"Gunakan telapak tanganmu untuk memegang benda itu."; "Use the palm of your hand to hold that object."; "noun, noun"
"tapak tangan";"handprint";"Kami menemukan tapak tangan di jendela yang pecah."; "We found a handprint on the broken window."; "noun, noun"
"jempol";"thumb";"Angkat tanganmu, dan tunjukkan jempolmu ke atas."; "Raise your hand and show your thumbs up."; "noun"
"dengkul";"knee";"Dia terjatuh dan menyakiti dengkulnya."; "He fell down and hurt his knee."; "noun"
"catatan";"note";"Tulislah catatan mengenai instruksi penting tersebut."; "Write a note about those important instructions."; "noun"
"hubungan";"relationship";"Hubungan mereka semakin dekat setelah perjalanan itu."; "Their relationship became closer after the trip."; "noun"
"tujuan";"goal";"Tentukanlah tujuanmu sebelum memulai perjalanan."; "Set your goals before starting the journey."; "noun"
"pimpinan";"leader";"Pimpinan perusahaan sedang mengadakan rapat dengan para karyawan."; "The company's leaders are having a meeting with the employees."; "noun"
"anggaran";"budget";"Kami perlu mengatur anggaran dengan bijak."; "We need to manage the budget wisely."; "noun"
"layanan";"service";"Periksa layanan yang disediakan sebelum membuat keputusan."; "Check the services provided before making a decision."; "noun"
"dukungan";"support";"Kami menghargai dukunganmu dalam proyek ini."; "We appreciate your support in this project."; "noun"
"urutan";"sequence";"Kata-kata dalam kalimat ini harus diurutkan dengan benar."; "The words in this sentence should be arranged in the correct sequence."; "noun"
"jabatan";"position";"Dia mencapai jabatan manajerial setelah bertahun-tahun bekerja keras."; "She reached a managerial position after years of hard work."; "noun"
"dugaan";"suspicion";"Terdapat dugaan bahwa dia terlibat dalam kasus tersebut."; "There is suspicion that he is involved in the case."; "noun"
"putaran";"turn";"Gantilah tempat dengan temanmu setelah putaran ini."; "Switch places with your friend after this turn."; "noun"
"tambahan";"additional";"Mohon berikan informasi tambahan jika diperlukan."; "Please provide additional information if required."; "noun, adjective"
"pilihan";"choice";"Anda memiliki banyak pilihan untuk memilih makanan."; "You have many choices to choose from for your meal."; "noun"
