"words in indonesian"; "words in english"; "sentence in indonesian using the words"; "english translation"; "part of speech of the words"
"kerumunan"; "crowd"; "Saya melihat kerumunan besar di jalan itu"; "I saw a big crowd on the street"; "noun"
"kenal"; "know"; "Dia tidak kenal dengan orang itu"; "He doesn't know that person"; "verb"
"mengenali"; "recognize"; "Saya sulit mengenali wajahnya"; "I find it hard to recognize his face"; "verb"
"klien"; "client"; "Perusahaan besar tersebut memiliki banyak klien"; "The big company has a lot of clients"; "noun"
"tawanan"; "prisoner"; "Polisi berhasil menangkap tawanan itu"; "The police successfully caught the prisoner"; "noun"
"nona"; "miss"; "Nona itu memenangkan kontes kecantikan"; "Miss won the beauty contest"; "noun"
"nyonya"; "madam"; "Terima kasih, nyonya, atas bantuannya"; "Thank you, madam, for your help"; "noun"
"musuh"; "enemy"; "Dia menjadi musuh terkuat kami"; "He became our strongest enemy"; "noun"
"tuan"; "sir"; "Selamat pagi, tuan, ada yang bisa saya bantu?"; "Good morning, sir, can I help you?"; "noun"
"grup"; "group"; "Saya menjadi anggota grup musik tersebut"; "I became a member of the music group"; "noun"
"kebudayaan"; "culture"; "Kami menjaga kebudayaan kami dengan bangga"; "We preserve our culture with pride"; "noun"
"tahanan"; "prisoner"; "Petugas penjara membawa para tahanan ke sel"; "The prison guards bring the prisoners to the cell"; "noun"
"pejalan"; "pedestrian"; "Pejalan kaki harus hati-hati di jalan raya"; "Pedestrians must be careful on the highway"; "noun"
"pelaku"; "perpetrator"; "Polisi sedang mencari pelaku kejahatan itu"; "The police are looking for the perpetrator of the crime"; "noun"
"pembaca"; "reader"; "Buku ini sangat disukai oleh pembaca"; "This book is highly liked by readers"; "noun"
"penyewa"; "tenant"; "Kami mencari penyewa untuk apartemen ini"; "We are looking for a tenant for this apartment"; "noun"
"pendiri"; "founder"; "Dia adalah pendiri perusahaan tersebut"; "He is the founder of the company"; "noun"
"pendengar"; "listener"; "Dia adalah pendengar yang baik"; "He is a good listener"; "noun"
"pelukis"; "painter"; "Dia adalah seorang pelukis terkenal"; "He is a famous painter"; "noun"
"pemakai"; "user"; "Saya adalah pemakai setia produk ini"; "I am a loyal user of this product"; "noun"
