"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kecepatan";"speed";"Mobil tersebut melaju dengan kecepatan tinggi."; "The car is moving at a high speed."; "noun"
"per";"per";"Harga bensin naik sebesar 500 rupiah per liter."; "The price of gasoline increases by 500 rupiah per liter."; "preposition"
"ons";"ounce";"Berat satu ounce sama dengan sekitar 28 gram."; "One ounce weighs approximately 28 grams."; "noun"
"sepertiga";"one-third";"Satu roti dibagi menjadi sepertiga."; "One bread is divided into one-third."; "noun"
"permukaan";"surface";"Permukaan meja terlihat bersih."; "The surface of the table looks clean."; "noun"
"didirikan";"established";"Perusahaan itu didirikan pada tahun 1990."; "The company was established in 1990."; "verb"
"diharapkan";"expected";"Film tersebut diharapkan sukses di box office."; "The film is expected to succeed at the box office."; "verb"
"dijadikan";"made into";"Tepung beras dapat dijadikan kue."; "Rice flour can be made into a cake."; "verb"
"disampaikan";"delivered";"Pesan anda akan disampaikan kepada pihak yang bertanggung jawab."; "Your message will be delivered to the responsible party."; "verb"
"ditetapkan";"determined";"Harga parkir ditetapkan oleh pemerintah daerah."; "The parking fee is determined by the local government."; "verb"
"diadakan";"held";"Pameran seni akan diadakan di galeri itu."; "An art exhibition will be held at that gallery."; "verb"
"disebabkan";"caused";"Kerugian tersebut disebabkan oleh bencana alam."; "The loss was caused by a natural disaster."; "verb"
"dikatakan";"said";"Dia dikatakan telah mencuri uang."; "He was said to have stolen the money."; "verb"
"dikembangkan";"developed";"Aplikasi baru sedang dikembangkan oleh tim IT."; "A new application is being developed by the IT team."; "verb"
"diselenggarakan";"organized";"Olimpiade bidang itu akan diselenggarakan di kota tersebut."; "The Olympic Games in that field will be organized in the city."; "verb"
"dilaporkan";"reported";"Kasus tersebut dilaporkan kepada polisi."; "The case was reported to the police."; "verb"
"dinyatakan";"stated";"Wali kota dinyatakan mengundurkan diri dari jabatannya."; "The mayor stated his resignation from his position."; "verb"
"dibutuhkan";"needed";"Bantuan kemanusiaan sangat dibutuhkan di daerah terdampak bencana."; "Humanitarian aid is greatly needed in disaster-affected areas."; "verb"
"diluncurkan";"launched";"Satelit baru akan diluncurkan ke angkasa besok."; "The new satellite will be launched into space tomorrow."; "verb"
"diumumkan";"announced";"Pemenang lomba tersebut akan diumumkan pada tanggal 15."; "The winner of the competition will be announced on the 15th."; "verb"
