"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"ibu";"mother";"Ibu saya sangat baik hati.";"My mother is very kind.";"noun"
"ibu kos";"landlady";"Ibu kos ini sangat ramah.";"This landlady is very friendly.";"noun"
"ibu kota";"capital city";"Jakarta adalah ibu kota Indonesia.";"Jakarta is the capital city of Indonesia.";"noun"
"Idul Fitri";"Eid al-Fitr";"Selamat Idul Fitri!";"Happy Eid al-Fitr!";"noun"
"ijazah";"diploma";"Setelah lulus, saya mendapatkan ijazah.";"After graduating, I received my diploma.";"noun"
"ikat kepala";"headband";"Dia menggunakan ikat kepala untuk menahan rambutnya.";"She uses a headband to hold her hair.";"noun"
"iklim";"climate";"Di daerah tropis, iklimnya panas dan lembab.";"In tropical regions, the climate is hot and humid.";"noun"
"ikut";"join";"Saya akan ikut ke pesta itu.";"I will join the party.";"verb"
"ikut kuliah";"enroll in college";"Dia ingin ikut kuliah di Universitas lokal.";"She wants to enroll in college at a local university.";"verb"
"ilmu kimia";"chemistry";"Ilmu kimia sangat menarik.";"Chemistry is very interesting.";"noun"
"ilmu pengetahuan";"science";"Saya suka mempelajari ilmu pengetahuan.";"I enjoy studying science.";"noun"
"ilmu pengetahuan alam";"natural science";"Fisika dan biologi termasuk dalam ilmu pengetahuan alam.";"Physics and biology are included in natural science.";"noun"
"ilmu pengetahuan sosial";"social science";"Sosiologi dan ekonomi termasuk dalam ilmu pengetahuan sosial.";"Sociology and economics are included in social science.";"noun"
"imigrasi";"immigration";"Saya harus mengurus dokumen imigrasi.";"I need to process immigration documents.";"noun"
"implan";"implant";"Dia melakukan operasi untuk memasang implan gigi.";"She had surgery to install dental implants.";"noun"
"indah";"beautiful";"Pemandangan di pulau itu sangat indah.";"The scenery on the island is very beautiful.";"adjective"
"Indo";"abbreviation for Indonesia";"Saya tinggal di Indo.";"I live in Indo.";"abbreviation"
"Informasi";"information";"Saya membutuhkan informasi tentang penerbangan ini.";"I need information about this flight.";"noun"
"ini";"this";"Ini adalah buku favorit saya.";"This is my favorite book.";"pronoun"
"inilah";"this is";"Inilah rumah baru saya.";"This is my new house.";"phrase"
