"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"tahun depan";"next year";"Saya akan pergi ke luar negeri tahun depan";"I will go abroad next year";"noun"
"takbiran";"Muslim religious festive";"Setiap tahun, kami merayakan takbiran dengan sukacita";"Every year, we celebrate takbiran joyfully";"noun"
"tambah";"add";"Saya harus menambah waktu belajar saya";"I need to add my study time";"verb"
"tampak";"visible";"Matahari tampak sangat cerah di pagi hari";"The sun is very visible in the morning";"adjective"
"tamu";"guest";"Mari kita berikan sambutan yang hangat kepada tamu kita";"Let us give a warm welcome to our guests";"noun"
"tanaman";"plants";"Saya suka merawat tanaman di kebun saya";"I enjoy taking care of the plants in my garden";"noun"
"tanda tangan";"signature";"Harap berikan tanda tangan Anda di bagian bawah formulir";"Please provide your signature at the bottom of the form";"noun"
"tanggal";"date";"Saya lupa tanggal ulang tahunnya";"I forgot her birthday date";"noun"
"tanggal berapa";"what date";"Tanggal berapa Anda akan tiba di sini?";"What date will you arrive here?";"noun"
"tanya";"ask";"Dia sering tanya tentang kehidupan di luar negeri";"He often asks about life abroad";"verb"
"tapi";"but";"Dia ingin pergi, tapi dia terlalu sibuk";"He wants to go, but he is too busy";"conjunction"
"tari";"dance";"Mereka menampilkan tarian tradisional yang indah";"They perform a beautiful traditional dance";"noun"
"tau";"know";"Saya tidak tau apa yang harus saya lakukan";"I don't know what to do";"verb"
"tawar";"offer";"Dia memberikan harga tawar yang lebih murah";"He offers a cheaper price";"verb"
"tawar-menawar";"bargaining";"Di pasar, tawar-menawar adalah hal yang umum";"In the market, bargaining is a common thing";"noun"
"tebal";"thick";"Buku ini memiliki kertas yang sangat tebal";"This book has very thick paper";"adjective"
"teknik elektro";"electrical engineering";"Dia adalah mahasiswa teknik elektro yang pintar";"He is a smart electrical engineering student";"noun"
"teknik mesin";"mechanical engineering";"Dia ingin belajar lebih banyak tentang teknik mesin";"He wants to learn more about mechanical engineering";"noun"
"teknik pertanian";"agricultural engineering";"Dia telah bekerja di bidang teknik pertanian selama bertahun-tahun";"He has been working in the field of agricultural engineering for years";"noun"
"tempat";"place";"Kami memilih tempat yang bagus untuk pesta";"We chose a nice place for the party";"noun"
