"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"serangan";"attack";"Dia menghindari serangan itu dengan sekuat tenaga";"He avoided the attack with all his strength";"noun"
"seribu lima ratus";"one thousand five hundred";"Harganya sebesar seribu lima ratus rupiah";"It costs one thousand five hundred rupiahs";"number"
"serumah";"housemate";"Dia adalah teman serumah saya";"He is my housemate";"noun"
"seseorang";"someone";"Seseorang telah memanggil namamu di telepon";"Someone called your name on the phone";"pronoun"
"sesuatu";"something";"Ada sesuatu di sini yang menarik perhatianku";"There is something here that caught my attention";"pronoun"
"sesudah";"after";"Aku akan ke sana sesudah makan malam";"I'll go there after dinner";"preposition"
"setengah";"half";"Dia sudah pergi setengah jam yang lalu";"He left half an hour ago";"numeral"
"setia";"loyal";"Dia adalah anjing yang sangat setia";"He is a very loyal dog";"adjective"
"setiap";"every";"Dia memilih untuk berolahraga setiap hari";"He chooses to exercise every day";"determiner"
"seumur";"for a lifetime";"Aku akan mencintaimu seumur hidupku";"I will love you for a lifetime";"preposition"
"sialan";"damn";"Sialan! Aku kehilangan dompetku";"Damn! I lost my wallet";"interjection"
"siang";"daytime";"Mari kita bertemu di tengah hari";"Let's meet in the middle of the day";"noun"
"siap";"ready";"Aku akan siap dalam beberapa menit";"I'll be ready in a few minutes";"adjective"
"siap-siap";"get ready";"Siap-siap! Pertandingan akan segera dimulai";"Get ready! The match will start soon";"verb"
"sifat";"characteristic";"Kelakuan buruknya adalah sifatnya yang paling menonjol";"His bad behavior is his most prominent characteristic";"noun"
"sih";"indeed";"Aku suka makanan pedas, sih";"I do like spicy food, indeed";"particle"
"sikap";"attitude";"Sikapnya terhadap masalah itu sangat positif";"His attitude towards the issue is very positive";"noun"
"silakan";"please";"Silakan duduk dan buat dirimu nyaman";"Please sit and make yourself comfortable";"interjection"
"silikon";"silicone";"Banyak produk kecantikan mengandung silikon";"Many beauty products contain silicone";"noun"
"SIM";"driver's license";"Jangan lupa membawa SIM saat mengemudi";"Don't forget to bring your driver's license when driving";"noun"
