"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"kelas ekonomi";"economy class";"Saya memilih untuk duduk di kelas ekonomi.";"I choose to sit in economy class.";"noun"
"kelihatan";"visible";"Dia kelihatan sangat lelah.";"He looks very tired.";"adjective"
"kelihatannya";"apparently";"Kelihatannya cuaca akan berubah.";"Apparently, the weather is going to change.";"adverb"
"keluar";"go out";"Tolong keluar dari ruangan ini.";"Please go out of this room.";"verb"
"keluarga";"family";"Keluarga adalah yang terpenting dalam hidup saya.";"Family is the most important thing in my life.";"noun"
"kelupaan";"forget";"Saya kelupaan membawa payung.";"I forgot to bring an umbrella.";"verb"
"kemajuan";"progress";"Negara ini memiliki kemajuan yang luar biasa.";"This country has an extraordinary progress.";"noun"
"kemaluan";"genitalia";"Topik kemaluan adalah hal yang tabu untuk dibicarakan.";"The topic of genitalia is a taboo to talk about.";"noun"
"ke mana";"where to";"Aku tidak tahu ke mana harus pergi.";"I don't know where to go.";"adverb"
"kembali";"go back";"Setelah liburan, kami akan kembali ke rumah.";"After the vacation, we will go back home.";"adverb"
"kemerah-merahan";"reddish";"Warna wajahnya kemerah-merahan setelah berlari.";"His face turned reddish after running.";"adjective"
"kemerdekaan";"independence";"Kemerdekaan adalah hak setiap bangsa.";"Independence is the right of every nation.";"noun"
"kemudian";"then";"Setelah itu, dia kemudian pergi ke kantor.";"After that, he then went to the office.";"adverb"
"kena";"hit";"Dia sedang bermain bola ketika kepala nya kena bola.";"He was playing soccer when the ball hit his head.";"verb"
"kenalan";"acquaintance";"Aku bertemu dengannya dan kami menjadi kenalan.";"I met him and we became acquaintances.";"noun"
"kenalkan";"introduce";"Perkenalkan, ini adalah teman baru saya.";"Let me introduce, this is my new friend.";"verb"
"kepada";"to";"Saya memberikan hadiah kepada ibu saya.";"I give a gift to my mother.";"preposition"
"kepala desa";"village head";"Kepala desa bertanggung jawab atas desa ini.";"The village head is responsible for this village.";"noun"
"kepala kantor";"office head";"Kepala kantor sedang rapat.";"The office head is in a meeting.";"noun"
"kepingin";"feeling like";"Aku kepingin makan es krim.";"I feel like eating ice cream.";"verb"
