"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sayang";"love";"Dia sangat sayang kepada keluarganya";"He loves his family very much";"noun"
"sayuran";"vegetables";"Makan banyak sayuran itu baik untuk kesehatan";"Eating a lot of vegetables is good for health";"noun"
"sayur-sayuran";"vegetables";"Sayur-sayuran segar itu enak dimakan";"Fresh vegetables are delicious to eat";"noun"
"seandainya";"if only";"Seandainya aku punya lebih banyak waktu, aku akan melakukan banyak hal";"If only I had more time, I would do many things";"conjunction"
"sebagian besar";"majority";"Sebagian besar siswa di sekolah itu berbakat";"The majority of students in that school are talented";"noun"
"sebagian kecil";"minority";"Sebagian kecil orang yang menolak proposal tersebut";"A minority of people reject the proposal";"noun"
"sebentar";"moment";"Tolong tunggu sebentar, saya akan kembali segera";"Please wait a moment, I will be back soon";"adverb"
"sebetulnya";"actually";"Dia sebetulnya sudah tahu jawabannya, tapi dia pura-pura tidak tahu";"He actually already knows the answer, but he pretends not to know";"adverb"
"sebuah";"a";"Dia mendapatkan sebuah buku bacaan dari perpustakaan";"He got a reading book from the library";"adjective"
"sedang apa";"what are you doing";"Sedang apa kamu sekarang?";"What are you doing now?";"phrase"
"sedikit";"a little";"Tolong tambahkan sedikit garam dalam masakan ini";"Please add a little salt to this dish";"adverb"
"segala-galanya";"everything";"Dia adalah segala-galanya bagiku";"He is everything to me";"noun"
"seharusnya";"should";"Dia seharusnya datang lebih awal";"He should come earlier";"modal verb"
"sekamar";"roommate";"Dia adalah sekamar saya di asrama";"He is my roommate in the dormitory";"noun"
"sekeliling";"surroundings";"Pemandangan sekeliling gunung itu indah sekali";"The surrounding view of the mountain is very beautiful";"noun"
"sekeluarga";"family";"Mereka pergi berlibur bersama sekeluarga";"They went on vacation together with the whole family";"noun"
"sekian";"several";"Sudah ada sekian orang yang mendaftar untuk acara tersebut";"There have been several people who registered for the event";"determiner"
"sekolah dasar";"elementary school";"Anak saya akan masuk sekolah dasar tahun depan";"My child will enter elementary school next year";"noun"
"sekolah menengah";"middle school";"Saya bertemu dengannya pertama kali di sekolah menengah";"I first met him in middle school";"noun"
"Sekolah Menengah Atas";"high school";"Aku merindukan masa-masa di Sekolah Menengah Atas";"I miss the days in high school";"noun"
