"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"cepat";"fast";"Saya ingin berlari cepat untuk mencapai garis finish.";"I want to run fast to reach the finish line.";"adjective"
"ceret";"pencil box";"Anak saya kehilangan ceretnya di sekolah.";"My child lost their pencil box at school.";"noun"
"cerewet";"talkative";"Ibu saya sangat cerewet dan selalu ingin tahu semua yang terjadi di sekitarnya.";"My mother is very talkative and always wants to know everything happening around her.";"adjective"
"cewek";"girl";"Adik perempuan saya adalah seorang cewek yang cantik.";"My younger sister is a beautiful girl.";"noun"
"cobalah";"try";"Jika Anda ragu-ragu, cobalah tanya kepada seseorang yang lebih berpengalaman.";"If you are unsure, try asking someone more experienced.";"verb"
"coklat";"chocolate";"Saya suka makan coklat setiap hari.";"I like to eat chocolate every day.";"noun"
"cucian";"laundry";"Tolong ambil cucian dari mesin cuci dan jemur di luar.";"Please take the laundry from the washing machine and hang it outside.";"noun"
"cucu";"grandchild";"Kakek dan nenek saya sangat bahagia memiliki banyak cucu.";"My grandparents are very happy to have many grandchildren.";"noun"
"cuek";"indifferent";"Dia selalu cuek dan tidak pernah peduli dengan perasaan orang lain.";"He is always indifferent and never cares about other people's feelings.";"adjective"
"cukup";"enough";"Anda perlu tidur cukup agar tetap sehat.";"You need to get enough sleep to stay healthy.";"adverb"
"cuma";"only";"Saya punya waktu cuma 5 menit untuk makan siang.";"I only have 5 minutes for lunch.";"adverb"
"cuma-cuma";"free of charge";"Diskon ini memberikan kesempatan bagi anda mendapatkan produk kami cuma-cuma.";"This discount gives you the opportunity to get our product free of charge.";"adjective"
"curiga";"suspicious";"Saya merasa curiga dengan perilaku anehnya.";"I feel suspicious about his strange behavior.";"adjective"
"dagangan";"merchandise";"Pedagang ini memiliki berbagai macam dagangan yang menarik.";"This merchant has various interesting merchandise.";"noun"
"dan";"and";"Saya akan pergi ke toko makanan dan toko buku.";"I will go to the grocery store and the bookstore.";"conjunction"
"dansa";"dance";"Dia sangat suka mendansa dan sering mengikuti kelas tari.";"She loves to dance and often takes dance classes.";"verb"
"dapat";"can";"Saya yakin Anda dapat melakukan apapun yang Anda impikan.";"I believe you can achieve anything you dream of.";"verb"
"dari";"from";"Buku ini saya beli dari toko buku terdekat.";"I bought this book from the nearest bookstore.";"preposition"
"dari mana";"from where";"Anda tahu dari mana dia berasal?";"Do you know where he is from?";"phrase"
"daripada";"rather than";"Saya lebih suka minum teh daripada kopi.";"I prefer drinking tea rather than coffee.";"conjunction"
