"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"persoalan";"problem";"Saya memiliki persoalan keuangan."; "I have a financial problem."; "noun"
"perumahan";"housing";"Dia sedang mencari perumahan baru."; "He is looking for a new housing."; "noun"
"pesek";"snub-nosed";"Wanita itu memiliki hidung yang pesek."; "The woman has a snub-nosed."; "adjective"
"petugas";"officer";"Petugas keamanan sedang berpatroli di sekitar gedung."; "The security officer is patrolling around the building."; "noun"
"pikiran";"mind";"Saya tidak bisa mengeluarkan pikiran buruk itu dari pikiran saya."; "I can't get that bad thought out of my mind."; "noun"
"pikir-pikir";"hesitate";"Saya pikir-pikir dulu sebelum membuat keputusan."; "I hesitate before making a decision."; "verb"
"pinjam";"borrow";"Bisakah saya pinjam bukumu?"; "Can I borrow your book?"; "verb"
"pinjaman";"loan";"Dia mengajukan pinjaman rumah."; "He applied for a home loan."; "noun"
"pintar";"smart";"Anak itu sangat pintar dalam matematika."; "The child is very smart in mathematics."; "adjective"
"pirang";"blond";"Wanita itu memiliki rambut pirang yang cantik."; "The woman has beautiful blond hair."; "adjective"
"poci";"teapot";"Mari bersantai sambil menikmati teh dari poci ini."; "Let's relax and enjoy tea from this teapot."; "noun"
"pohon beringin";"banyan tree";"Di tengah taman ada pohon beringin yang besar."; "There is a large banyan tree in the middle of the garden."; "noun"
"pokoknya";"basically";"Pokoknya, kamu harus datang ke pesta itu."; "Basically, you need to come to the party."; "adverb"
"pot bunga";"flower pot";"Saya membeli pot bunga untuk menghias halaman saya."; "I bought a flower pot to decorate my yard."; "noun"
"prakiraan cuaca";"weather forecast";"Cek prakiraan cuaca sebelum keluar rumah."; "Check the weather forecast before going out."; "noun"
"praktis";"practical";"Jaket ini sangat praktis untuk digunakan saat berpergian."; "This jacket is very practical to wear while traveling."; "adjective"
"Presiden";"President";"Presiden akan memberikan pidato besok."; "The President will give a speech tomorrow."; "noun"
"prihatin";"concerned";"Saya sangat prihatin dengan kondisi lingkungan."; "I am very concerned about the environment."; "adjective"
"program";"program";"Kami telah merencanakan sebuah program sekolah."; "We have planned a school program."; "noun"
"provinsi";"province";"Saya berasal dari provinsi Jawa Timur."; "I come from East Java province."; "noun"
