"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"puasa";"fasting";"Saya akan berpuasa bulan depan";"I will fast next month";"noun"
"pulau, Pulau Bali";"island, Bali Island";"Pulau Bali terkenal dengan keindahannya";"Bali Island is famous for its beauty";"noun"
"puluh";"tens";"Dia memiliki puluh souvenir dari perjalanannya";"He has tens of souvenirs from his trip";"numeral"
"pura";"temple";"Kami mengunjungi pura yang sangat indah";"We visited a very beautiful temple";"noun"
"pusat";"center";"Belanjaan ini terletak di pusat kota";"This shopping center is located in the city center";"noun"
"pusat perbelanjaan";"shopping mall";"Ayo kita ke pusat perbelanjaan";"Let's go to the shopping mall";"noun"
"Puskesmas";"community health center";"Saya mengunjungi Puskesmas minggu lalu";"I visited the community health center last week";"noun"
"rajin";"diligent";"Anak ini sangat rajin dalam belajar";"This child is very diligent in studying";"adjective"
"ramah";"friendly";"Penduduk desa ini sangat ramah kepada pengunjung";"The villagers here are very friendly to visitors";"adjective"
"ramai";"crowded";"Pasar ini selalu ramai pada hari Sabtu";"This market is always crowded on Saturdays";"adjective"
"ramalan";"prediction";"Ramalan cuaca mengatakan akan hujan minggu depan";"The weather prediction says it will rain next week";"noun"
"rambutan";"rambutan (a tropical fruit)";"Saya suka makan rambutan saat musim panas";"I like eating rambutan during the summer season";"noun"
"rasanya";"taste";"Makanan ini rasanya sangat enak";"This food tastes really delicious";"noun"
"rektor";"rector";"Perguruan tinggi ini memiliki seorang rektor yang hebat";"This university has a great rector";"noun"
"rendang";"rendang (a traditional Indonesian dish)";"Rendang adalah masakan paling populer di Indonesia";"Rendang is the most popular dish in Indonesia";"noun"
"resmi";"official";"Acara ini merupakan pertemuan resmi pemerintah";"This event is an official government meeting";"adjective"
"restoran";"restaurant";"Kami makan malam di restoran yang baru dibuka";"We had dinner at the newly opened restaurant";"noun"
"ribuan";"thousands";"Ada ribuan orang menghadiri konser malam ini";"There are thousands of people attending the concert tonight";"numeral"
"riwayat hidup";"curriculum vitae";"Berikan saya riwayat hidup Anda";"Give me your curriculum vitae";"noun"
"royal";"royal";"Pelayanan di hotel ini sangat royal";"The service at this hotel is very royal";"adjective"
