"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"nama";"name";"Apa nama Anda?";"What is your name?";"noun"
"namanya...";"his/her name is...";"Namanya adalah Budi."; "His name is Budi."; "noun"
"nanti dulu";"wait a moment";"Tolong tunggu nanti dulu."; "Please wait a moment."; "adverb"
"nanti malam";"later tonight"; "Kita bertemu nanti malam."; "Let's meet later tonight."; "adverb"
"nanti siang";"later in the afternoon";"Besok aku akan datang nanti siang."; "I will come tomorrow later in the afternoon."; "adverb"
"nanti sore";"later in the evening";"Kita dapat makan malam nanti sore."; "We can have dinner later in the evening."; "adverb"
"napas";"breath";"Tarik napas dalam-dalam."; "Take a deep breath."; "noun"
"nasi goreng";"fried rice";"Saya suka makan nasi goreng."; "I like eating fried rice."; "noun"
"nasihat";"advice";"Ibu memberikan nasihat yang baik."; "Mother gave good advice."; "noun"
"nasional";"national";"Hari ini adalah hari nasional."; "Today is a national day."; "adjective"
"ndak";"no";"Aku ndak tahu."; "I don't know."; "adverb"
"negeri";"country";"Indonesia adalah negeri yang indah."; "Indonesia is a beautiful country."; "noun"
"ngapain";"what are you doing";"Ngapain kamu disini?"; "What are you doing here?"; "adverb"
"nggak";"not";"Saya nggak suka makan sayur."; "I don't like eating vegetables."; "adverb"
"ngomong";"speak";"Aku tidak bisa ngomong Bahasa Inggris."; "I can't speak English."; "verb"
"ngorok";"snore";"Teman sekamar saya selalu ngorok."; "My roommate always snores."; "verb"
"nih";"here";"Ini dia nih!"; "Here it is!"; "adverb"
"nolong";"help";"Tolong, nolong aku!"; "Help me, please!"; "verb"
"nomor";"number";"Tolong berikan nomor teleponmu."; "Please give me your phone number."; "noun"
"nyaman";"comfortable";"Tempat ini sangat nyaman."; "This place is very comfortable."; "adjective"
