"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"diperbaiki";"repaired";"Mobilnya harus diperbaiki.";His car needs to be repaired.;"verb"
"diperjualbelikan";"traded";"Barang itu sering diperjualbelikan.";That item is often traded.;"verb"
"dipinjam";"borrowed";"Uangnya dipinjam oleh saudara saya.";His money was borrowed by my brother.;"verb"
"dipotong";"cut";"Sayuran harus dipotong sebelum dimasak.";Vegetables need to be cut before cooking.;"verb"
"direbus";"boiled";"Telur direbus sampai matang.";Eggs are boiled until cooked.;"verb"
"di samping";"beside";"Buku itu diletakkan di samping laptop.";The book is placed beside the laptop.;"preposition"
"di sana";"there";"Rumahnya berada di sana.";His house is there.;"adverb"
"di sebelah kanan";"on the right side";"Ruang kelas berada di sebelah kanan kantin.";The classroom is on the right side of the cafeteria.;"preposition"
"di sebelah kiri";"on the left side";"Toko itu terletak di sebelah kiri jalan.";The store is located on the left side of the road.;"preposition"
"di seberang";"across";"Jembatan tersebut berada di seberang sungai.";The bridge is across the river.;"preposition"
"diseterika";"ironed";"Bajunya harus diseterika sebelum dipakai.";The clothes need to be ironed before wearing.;"verb"
"disikat";"brushed";"Gigi harus disikat setidaknya dua kali sehari.";Teeth should be brushed at least twice a day.;"verb"
"disimpan";"stored";"Buku-buku itu disimpan di dalam lemari.";Those books are stored inside the cabinet.;"verb"
"di sini";"here";"Kafe favorit saya berada di sini.";My favorite café is here.;"adverb"
"disuruh";"told";"Anaknya disuruh untuk pulang ke rumah.";His child was told to go home.;"verb"
"ditanam";"planted";"Pohon itu ditanam di taman belakang.";The tree is planted in the backyard.;"verb"
"ditaruh";"placed";"Tasnya ditaruh di atas meja.";Her bag is placed on the table.;"verb"
"di tengah-tengah";"in the middle";"Bola itu terdapat di tengah-tengah lapangan.";The ball is in the middle of the field.;"preposition"
"ditolak";"rejected";"Permohonan mereka ditolak oleh perusahaan.";Their request was rejected by the company.;"verb"
"ditulis";"written";"Surat itu ditulis dengan tinta hitam.";The letter is written in black ink.;"verb"
