"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"hari Selasa";"Tuesday";"Hari Selasa adalah hari yang saya pijam tidur."; "Tuesday is the day I sleep in."; "noun"
"hari Senin";"Monday";"Saya tidak suka hari Senin karena harus kembali bekerja."; "I don't like Mondays because I have to go back to work."; "noun"
"hari ulang tahun";"birthday";"Hari ulang tahun ku adalah tanggal 5 Januari."; "My birthday is on January 5th."; "noun"
"harus";"must";"Kita harus membantu mereka dalam kesulitan."; "We must help them in times of difficulty."; "verb"
"hasil kerja";"work result";"Bukannya hasil kerjanya baik, tetapi penampilannya mengecewakan."; "It's not that his work results are good, but his appearance is disappointing."; "noun"
"hati";"heart";"Cintailah dengan sepenuh hati, tidak pernah setengah-setengah."; "Love with all your heart, never half-heartedly."; "noun"
"hati-hati";"careful";"Hati-hati ketika menyebrang jalan, lalu lintas sangat sibuk di sini."; "Be careful when crossing the road, the traffic is very busy here."; "adjective"
"helm";"helmet";"Jangan pernah lupa mengenakan helm saat mengendarai sepeda motor."; "Never forget to wear a helmet while riding a motorcycle."; "noun"
"heran";"astonished";"Saya heran melihat keajaiban alam di tempat ini."; "I am astonished to see the natural wonders in this place."; "adjective"
"hiburan";"entertainment";"Jika Anda mencari hiburan malam, kota ini memiliki banyak klub."; "If you're looking for evening entertainment, this city has plenty of clubs."; "noun"
"hidup";"life";"Jangan takut mengambil risiko dalam hidup."; "Don't be afraid to take risks in life."; "noun"
"hilang";"lost";"Dompet saya hilang di tempat kerja."; "I lost my wallet at work."; "verb"
"Hindia Belanda";"Dutch East Indies";"Hindia Belanda adalah nama lama untuk negara Indonesia."; "Dutch East Indies is the old name for Indonesia."; "noun"
"hitam manis";"black sweet";"Teh hitam manis adalah minuman favorit saya."; "Black sweet tea is my favorite drink."; "noun"
"hobi";"hobby";"Membaca adalah hobi yang sangat saya nikmati."; "Reading is a hobby that I really enjoy."; "noun"
"hormat";"respect";"Saya menghormati pendapat orang lain meskipun berbeda dengan saya."; "I respect the opinions of others even if they differ from mine."; "noun"
"HP";"mobile phone";"HP saya jatuh dan layarnya retak."; "My mobile phone fell and its screen cracked."; "noun"
"hukum";"law";"Setiap orang harus tunduk pada hukum."; "Everyone must abide by the law."; "noun"
"ia";"he/she";"Ia adalah seseorang yang saya kenal sejak kecil."; "He/she is someone I've known since childhood."; "pronoun"
"ialah";"is";"Saya ialah guru baru di sekolah ini."; "I am the new teacher at this school."; "verb"
