"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"bersejarah";"historical";"Kami mengunjungi tempat itu karena memiliki bangunan-bangunan yang sangat bersejarah";"We visited the place because it has very historical buildings";"verb"
"bersekolah";"go to school";"Anak-anak bersekolah setiap hari kecuali hari Sabtu dan Minggu";"The children go to school every day except Saturday and Sunday";"verb"
"bersembahyang";"pray";"Saat bulan puasa, umat Muslim bersembahyang lebih sering";"During the fasting month, Muslims pray more often";"verb"
"bersenam";"exercise";"Dia bersenam dua kali seminggu di pusat kebugaran";"She exercises twice a week at the gym";"verb"
"bersiap-siap";"get ready";"Kita harus bersiap-siap sebelum memulai presentasi besok";"We need to get ready before starting the presentation tomorrow";"verb"
"bersifat";"have the nature of";"Anjing itu bersifat setia kepada majikannya";"The dog has the nature of loyalty towards its owner";"verb"
"bersisir";"comb";"Dia selalu bersisir rapi setelah mandi";"He always combs his hair neatly after showering";"verb"
"bersyukur";"be grateful";"Kami bersyukur memiliki keluarga yang peduli satu sama lain";"We are grateful to have a caring family";"verb"
"bertanding";"compete";"Tim sepak bola kami akan bertanding dengan tim terkuat di liga ini";"Our football team will compete with the strongest team in this league";"verb"
"bertanggung jawab";"be responsible";"Setiap orang harus bertanggung jawab atas perbuatannya sendiri";"Everyone should be responsible for their own actions";"verb"
"bertanya";"ask";"Saya ingin bertanya kepada Anda apakah Anda sudah makan";"I'd like to ask you if you have eaten";"verb"
"berteriak";"shout";"Dia mulai berteriak kegirangan saat mendengar berita baik itu";"She started shouting joyfully upon hearing the good news";"verb"
"berubah";"change";"Dia berubah menjadi sosok yang lebih baik setelah mengalami pengalaman pahit";"He changed into a better person after experiencing a bitter incident";"verb"
"berumur";"age";"Kucing itu sudah berumur 10 tahun, tapi masih sehat dan lincah";"The cat is already 10 years old, but still healthy and agile";"verb"
"berurusan";"deal with";"Saya tidak ingin berurusan dengan masalah ini lagi";"I don't want to deal with this problem anymore";"verb"
"berwarna";"colored";"Bunga di taman ini sangat indah dan berwarna-warni";"The flowers in this garden are very beautiful and colorful";"verb"
"berwawancara";"interview";"Saya sedang mempersiapkan diri untuk berwawancara dengan perusahaan tersebut";"I am preparing myself for an interview with that company";"verb"
"besoknya";"the following day";"Dia memutuskan untuk pergi ke pantai dan menikmati matahari terbenam besoknya";"She decided to go to the beach and enjoy the sunset the following day";"noun"
"betul";"true";"Pernyataan tersebut benar dan tidak ada yang dapat menyangkalnya";"The statement is true and cannot be denied";"adjective"
"betul-betul";"truly";"Dia betul-betul mencintai kamu, kamu harus percaya padanya";"She truly loves you, you should believe in her";"adverb"
