"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"melukis";"to paint";"Saya senang melukis di waktu luang.";"I enjoy painting in my free time.";"verb"
"memandang";"to look at";"Dia terus memandang langit yang indah.";"He keeps looking at the beautiful sky.";"verb"
"memasukkan";"to insert";"Tolong memasukkan kunci ke dalam lubang.";"Please insert the key into the hole.";"verb"
"membantu";"to help";"Kami siap membantu Anda.";"We are ready to help you.";"verb"
"membawa";"to bring";"Dia suka membawa buku ke mana pun dia pergi.";"She likes to bring books wherever she goes.";"verb"
"membuang waktu";"to waste time";"Jangan membuang waktu Anda dengan hal-hal yang tidak penting.";"Don't waste your time on unimportant things.";"verb"
"membungkus";"to wrap";"Tolong membungkus hadiah ini dengan indah.";"Please wrap this gift beautifully.";"verb"
"membutuhkan";"to need";"Kami membutuhkan bantuanmu segera.";"We need your help urgently.";"verb"
"memecat";"to fire";"Perusahaan tersebut akan memecat karyawan yang tidak bekerja dengan baik.";"The company will fire employees who do not perform well.";"verb"
"memiliki";"to have";"Saya memiliki dua anjing peliharaan.";"I have two pet dogs.";"verb"
"memimpin";"to lead";"Dia dipilih untuk memimpin tim tersebut.";"She was chosen to lead the team.";"verb"
"meminjam";"to borrow";"Bisakah saya meminjam bukumu selama seminggu?";"Can I borrow your book for a week?";"verb"
"memisahkan";"to separate";"Pisahkan baju putih dan baju berwarna sebelum mencucinya.";"Separate the white clothes from the colored ones before washing them.";"verb"
"memperjualbelikannya";"to buy and sell";"Dia menjual produknya secara online untuk memperjualbelikannya.";"He sells his products online to buy and sell them.";"verb"
"memukul";"to hit";"Jangan pernah memukul orang lain.";"Never hit another person.";"verb"
"menambah";"to add";"Tolong menambah gula ke dalam adonan.";"Please add sugar to the dough.";"verb"
"menambahkan";"to add";"Saya suka menambahkan keju pada makanan saya.";"I like to add cheese to my food.";"verb"
"menanam";"to plant";"Ibu saya menanam bunga di taman depan rumah.";"My mother plants flowers in the front yard.";"verb"
"menandatangani";"to sign";"Silakan menandatangani formulir ini di bagian bawah.";"Please sign this form at the bottom.";"verb"
"menaruh";"to put";"Tolong menaruh buku itu di rak.";"Please put the book on the shelf.";"verb"
