"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"terima telepon";"answer the phone";"Saya terima telepon dari teman saya.";"I answer the phone from my friend.";"verb noun"
"terkejut";"shocked";"Dia terkejut melihat kejutan itu.";"She was shocked to see the surprise.";"adjective"
"terlalu";"too";"Dia makan terlalu banyak."; "He eats too much.";"adverb"
"terluka";"injured";"Dia terluka dalam kecelakaan mobil.";"He is injured in the car accident.";"adjective"
"terminal bus";"bus terminal";"Saya menunggu di terminal bus."; "I am waiting at the bus terminal.";"noun noun"
"ternyata";"apparently";"Dia ternyata punya rencana lain.";"Apparently, he has other plans.";"adverb"
"terpaksa";"forced";"Saya terpaksa melakukan tugas ini.";"I am forced to do this task.";"adjective"
"tersenyum";"smile";"Dia tersenyum melihat anaknya.";"She smiles while looking at her child.";"verb"
"terserah";"up to";"Apapun yang kamu lakukan, itu terserah kamu.";"Whatever you do, it's up to you.";"adjective"
"tersinggung";"offended";"Dia tersinggung oleh komentar temannya.";"He is offended by his friend's comment.";"adjective"
"tertawa";"laugh";"Mereka tertawa melihat aksi kocak itu.";"They laugh while watching the funny act.";"verb"
"terus terang";"frankly";"Terus terang, saya tidak setuju dengan pendapatmu.";"Frankly, I don't agree with your opinion.";"adverb"
"tiba";"arrive";"Mereka tiba di bandara pagi ini.";"They arrive at the airport this morning.";"verb"
"tiba-tiba";"suddenly";"Dia tiba-tiba melompat dari tempat duduknya.";"He suddenly jumps from his seat.";"adverb"
"tidak apa-apa";"it's okay";"Tidak apa-apa, saya baik-baik saja.";"It's okay, I'm fine.";"adjective"
"tidak begitu";"not really";"Saya tidak begitu suka makanan pedas.";"I don't really like spicy food.";"adverb"
"tidak boleh";"not allowed";"Anjing tidak boleh masuk ke restoran ini.";"Dogs are not allowed in this restaurant.";"adverb"
"tidak kalah";"not inferior";"Tim kita tidak kalah dalam pertandingan itu.";"Our team is not inferior in that match.";"adjective"
"tidak kuat";"cannot handle";"Saya tidak kuat mengangkat barang tersebut.";"I cannot handle lifting that thing.";"adjective"
"tidak usah";"no need";"Tidak usah repot-repot, saya bisa melakukannya sendiri.";"No need to bother, I can do it myself.";"adjective"
