"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"diturunkan";"lowered";"Ia diturunkan dari tangga."; "He was lowered from the stairs."; "verb"
"ditutup";"closed";"Pintu harus ditutup rapat."; "The door needs to be closed tightly."; "verb"
"diulang";"repeated";"Lagu ini diulang selama dua kali."; "This song is repeated twice."; "verb"
"doa";"prayer";"Kami akan berdoa sebelum makan."; "We will say a prayer before eating."; "noun"
"dokar";"traditional horse-drawn carriage";"Di desa itu, kami menggunakan dokar untuk berkeliling."; "In that village, we use a traditional horse-drawn carriage to get around."; "noun"
"dokter gigi";"dentist";"Aku harus pergi ke dokter gigi minggu depan."; "I need to go to the dentist next week."; "noun"
"dokter hewan";"veterinarian";"Adikku ingin menjadi dokter hewan."; "My younger sibling wants to become a veterinarian."; "noun"
"dosen";"lecturer";"Dosen kuliahku sangat cerdas."; "My lecturer is very smart."; "noun"
"doyan";"like";"Ia doyan makan cokelat."; "He likes eating chocolate."; "verb"
"dua kali";"two times";"Aku sudah ke sana dua kali."; "I have been there two times."; "adverb"
"duda";"widower";"Dia adalah seorang duda yang baik hati."; "He is a kind-hearted widower."; "noun"
"duduk-duduk";"sitting";"Mereka duduk-duduk di taman sambil berbicara."; "They were sitting at the park while talking."; "verb"
"duit";"money";"Aku perlu uang lebih banyak."; "I need more money."; "noun"
"dulu";"in the past";"Dia selalu bahagia dulu."; "He was always happy in the past."; "adverb"
"dunia";"world";"Anjing adalah sahabat terbaik manusia di dunia ini."; "Dogs are humanity's best friends in this world."; "noun"
"durian";"durian";"Aku sangat menyukai buah durian."; "I really like durian fruit."; "noun"
"efisien";"efficient";"Teknik ini sangat efisien."; "This technique is very efficient."; "adjective"
"ejaan";"spelling";"Aku masih sering salah ejaan."; "I still often make spelling mistakes."; "noun"
"ekonomi pertanian";"agricultural economy";"Negara ini bergantung pada pengembangan ekonomi pertanian."; "This country relies on the development of the agricultural economy."; "noun phrase"
"ekor";"tail";"Kucingnya memiliki ekor yang panjang dan indah."; "Her cat has a long and beautiful tail."; "noun"
