"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"sampai di + name of places";"until at + name of places";"Saya belum pernah sampai di Bali."; "I have never been to Bali before."; "phrase"
"sampai sekarang";"until now";"Sampai sekarang, saya belum mendapatkan pekerjaan."; "Until now, I haven't found a job."; "phrase"
"sampanye";"party";"Kita akan mengadakan sampanye ulang tahun besok."; "We will have a birthday party tomorrow."; "noun"
"sana";"there";"Kakek tinggal di sana sejak bertahun-tahun yang lalu."; "Grandpa has been living there for many years."; "adverb"
"sangat";"very";"Film itu sangat menarik."; "That film is very interesting."; "adverb"
"sanggup";"able";"Apakah kamu sanggup menolong saya dengan pekerjaan ini?"; "Are you able to help me with this task?"; "verb"
"sapu";"broom";"Tolong sapu lantai kamar tidur."; "Please sweep the bedroom floor."; "noun"
"sapu tangan";"handkerchief";"Kamu bisa meminjam sapu tangan saya jika kamu perlu."; "You can borrow my handkerchief if you need it."; "noun"
"sarang";"nest";"Burung sedang membangun sarang di pohon itu."; "The bird is building a nest on that tree."; "noun"
"sarapan";"breakfast";"Apakah kamu sudah sarapan pagi ini?"; "Have you had breakfast this morning?"; "noun"
"sariawan";"canker sores";"Aku tidak bisa makan pedas karena punya sariawan."; "I can't eat spicy food because I have canker sores."; "noun"
"sarjana";"bachelor";"Dia adalah seorang sarjana jurusan ekonomi."; "He is a bachelor of economics."; "noun"
"sarjana muda";"undergraduate";"Saya sedang menjadi sarjana muda di Universitas."; "I am currently an undergraduate student at the University."; "noun"
"sarung";"sarong";"Ibu memakai sarung saat pergi ke masjid."; "Mom wears a sarong when going to the mosque."; "noun"
"satai";"satay";"Saya suka makan satai ayam dengan saus kacang."; "I enjoy eating chicken satay with peanut sauce."; "noun"
"satu dua";"one two";"Kami sedang bermain permainan satu dua."; "We are playing a one two game."; "phrase"
"Saudara";"sibling";"Saudara saya mengunjungi rumah kami akhir pekan lalu."; "My siblings visited our house last weekend."; "noun"
"sawo matang";"ripe sapodilla";"Buah sawo matang memiliki rasa manis."; "Ripe sapodilla has a sweet taste."; "noun"
"saya";"I, me";"Saya belajar bahasa Indonesia."; "I am learning the Indonesian language."; "pronoun"
"saya kira";"I think";"Saya kira, ini adalah keputusan yang baik."; "I think this is a good decision."; "phrase"
