"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"misalnya";"for example";"Misalnya, saya suka makanan pedas";"For example, I like spicy food";"adverb"
"moderator";"moderator";"Saya bertemu moderator acara tersebut";"I met the moderator of the event";"noun"
"modern";"modern";"Rumah ini memiliki desain yang modern";"This house has a modern design";"adjective"
"mohon";"please";"Mohon maaf, saya terlambat";"Please excuse me, I'm late";"verb"
"mohon maaf";"apologies";"Mohon maaf, saya membuat kesalahan";"Apologies, I made a mistake";"phrase"
"montir";"mechanic";"Saya harus membawa mobil saya ke montir";"I have to take my car to the mechanic";"noun"
"monumen";"monument";"Monumen ini menggambarkan sejarah bangsa";"This monument portrays the nation's history";"noun"
"muatan lokal";"local cargo";"Pengiriman ini adalah muatan lokal";"This shipment is a local cargo";"noun"
"mudah-mudahan";"hopefully";"Mudah-mudahan cuaca akan cerah besok";"Hopefully, the weather will be sunny tomorrow";"adverb"
"mudik";"homecoming";"Banyak orang mudik saat perayaan Lebaran";"Many people go on a homecoming during the Eid celebrations";"verb"
"mula-mula";"at first";"Saya kesulitan memahami pada mula-mula";"I had difficulty understanding at first";"adverb"
"musala";"prayer room";"Kami mengadakan shalat di musala";"We perform prayers in the prayer room";"noun"
"museum";"museum";"Kami berkunjung ke museum sejarah";"We visited the history museum";"noun"
"musim hujan";"rainy season";"Di Indonesia, musim hujan terjadi antara November dan Maret";"In Indonesia, the rainy season occurs between November and March";"noun"
"musim kemarau";"dry season";"Pada musim kemarau, tanaman membutuhkan lebih banyak air";"In the dry season, plants need more water";"noun"
"mutiara";"pearl";"Mutiaranya memiliki kilau yang indah";"The pearl has a beautiful luster";"noun"
"nabi";"prophet";"Nabi Muhammad adalah rasul terakhir dalam Islam";"Prophet Muhammad is the last messenger in Islam";"noun"
"nah";"well";"Nah, apa yang ingin kamu bicarakan?";"Well, what do you want to talk about?";"interjection"
"naikascend";"ascend";"Ia berusaha untuk naikascend dalam karirnya";"He is striving to ascend in his career";"verb"
"naik haji";"go on a pilgrimage";"Orang tua saya berencana naik haji tahun depan";"My parents plan to go on a pilgrimage next year";"verb"
