"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"dari sana";"from there";"Dia pergi dari sana.";He went from there.";"prepositional phrase"
"dari sini";"from here";"Aku datang dari sini.";I come from here.";"prepositional phrase"
"dasar";"basic";"Dia tidak tahu dasar itu.";He doesn't know the basics.";"noun"
"demam berdarah";"dengue fever";"Adiknya menderita demam berdarah.";His younger sibling has dengue fever.";"noun phrase"
"dengan";"with";"Ia pergi dengan temannya.";He went with his friend.";"preposition"
"detektif";"detective";"Aku ingin menjadi detektif suatu hari.";I want to become a detective one day.";"noun"
"deterjen";"detergent";"Dia membeli deterjen untuk mencuci pakaian.";He bought detergent to wash clothes.";"noun"
"di";"in/at/on";"Bukunya ada di meja.";The book is on the table.";"preposition"
"diaduk";"stirred";"Kue adonan itu diaduk dengan baik.";The dough for the cake was stirred well.";"verb"
"diajak";"invited";"Aku diajak pergi ke pesta.";I was invited to the party.";"verb"
"diam-diam";"secretly";"Mereka diam-diam berkumpul.";They secretly gathered.";"adverb"
"diantar";"delivered";"Pesanan itu diantar tepat waktu.";The order was delivered on time.";"verb"
"di antaranya";"among them";"Ada buku-buku bagus di antaranya.";There are good books among them.";"prepositional phrase"
"di atas";"on top";"Lidah buaya diletakkan di atas luka.";Aloe vera is placed on top of the wound.";"prepositional phrase"
"diatur";"arranged";"Semua sudah diatur dengan baik.";Everything has been arranged properly.";"verb"
"dibaca";"read";"Buku itu harus dibaca.";The book needs to be read.";"verb"
"dibangun";"built";"Pabrik itu sedang dibangun di atas lahan kosong.";The factory is being built on an empty land.";"verb"
"dibawa";"brought";"Ia membawa bunga untuk ibunya.";He brought flowers for his mother.";"verb"
"di bawah";"under";"Tas itu ada di bawah meja.";The bag is under the table.";"prepositional phrase"
"di belakang";"behind";"Anjing itu bersembunyi di belakang pohon.";The dog is hiding behind the tree.";"prepositional phrase"
