"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"lewat";"through";"Kemana kamu pergi? Aku sedang lewat."; "Where are you going? I am passing through.";"adverb"
"lho";"you know";"Aku sudah memberitahumu, lho."; "I've already told you, you know.";"interjection"
"lokasi";"location";"Tolong beri tahu aku lokasi kamu sekarang."; "Please let me know your current location.";"noun"
"losmen";"guesthouse";"Kami akan menginap di losmen itu."; "We will stay at that guesthouse.";"noun"
"lotre";"lottery";"Aku ingin membeli tiket lotre."; "I want to buy a lottery ticket.";"noun"
"lu";"you";"Ayo, lu harus segera pulang."; "Come on, you need to go home soon.";"pronoun"
"lumayan";"pretty good";"Makanannya lumayan enak."; "The food is pretty good.";"adjective"
"lupa";"forget";"Aku sering lupa membawa kunci."; "I often forget to bring my keys.";"verb"
"lurus";"straight";"Jalan terus dan belok kanan setelah tujuh kilometer."; "Go straight and turn right after seven kilometers.";"adjective"
"maaf";"sorry";"Maaf atas kesalahanku."; "Sorry for my mistake.";"interjection"
"mabuk";"drunk";"Jangan mengendarai mobil ketika kamu mabuk."; "Don't drive the car when you are drunk.";"adjective"
"macam";"kind";"Di toko itu, ada macam-macam jenis baju."; "In that store, there are various kinds of clothes.";"noun"
"macam-macam";"variety";"Di pesta tersebut, ada macam-macam makanan."; "At the party, there is a variety of food.";"adjective"
"mahasiswa";"student";"Dia adalah mahasiswa di universitas terkenal."; "He is a student at a famous university.";"noun"
"majikan";"employer";"Saya bekerja untuk majikan yang baik."; "I work for a good employer.";"noun"
"maju";"forward";"Teruslah maju dan jangan menyerah."; "Keep moving forward and never give up.";"verb"
"makalah";"paper";"Kami harus menulis makalah untuk tugas ini."; "We have to write a paper for this assignment.";"noun"
"makam";"grave";"Kami mengunjungi makam kakek nenekku."; "We visited my grandparents' grave.";"noun"
"makanan kecil";"snack";"Ayo kita makan makanan kecil dulu sebelum makan malam."; "Let's have a snack first before dinner.";"noun"
"makan pagi";"breakfast";"Saya biasanya makan pagi di rumah sebelum pergi kerja."; "I usually have breakfast at home before going to work.";"noun"
