"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"komponen";"component";"Komponen elektronik rusak harus segera diganti."; "Faulty electronic components need to be replaced immediately."; "noun"
"komposisi";"composition";"Komposisi musik ini sangat indah."; "This music composition is very beautiful."; "noun"
"kopi tubruk";"Turkish coffee";"Saya suka minum kopi tubruk di pagi hari."; "I like to drink Turkish coffee in the morning."; "noun"
"kosmetik";"cosmetics";"Ada banyak pilihan kosmetik di toko ini."; "There are many cosmetic options in this store."; "noun"
"kosong";"empty";"Gelas ini masih kosong, bisa saya isi minuman?"; "This glass is still empty, can I fill it with a drink?"; "adjective"
"kotak";"box";"Tolong ambilkan saya kotak di rak atas tersebut."; "Please get me the box on that top shelf."; "noun"
"kritikus";"critic";"Dia adalah seorang kritikus film terkenal di negara ini."; "He is a famous film critic in this country."; "noun"
"kue kering";"cookies";"Saya membuat beberapa kue kering untuk acara besok."; "I made some cookies for tomorrow's event."; "noun"
"kulkas";"refrigerator";"Tolong simpan susu di dalam kulkas."; "Please keep the milk inside the refrigerator."; "noun"
"kuning langsat";"pale yellow";"Bunga di taman ini berwarna kuning langsat."; "The flowers in this garden are pale yellow."; "adjective"
"kupas";"peeled";"Saya sedang kupas apel untuk buat jus."; "I am peeling apples to make juice."; "verb"
"kurang";"less";"Kurang berarti tidak cukup banyak."; "Less means not enough."; "adjective"
"kurang + adjective";"less + adjective";"Ia merasa kurang puas dengan hasil ini."; "He feels less satisfied with this result."; "adjective"
"kurang banyak";"less in quantity";"Sayurannya kurang banyak, tolong tambahkan lagi."; "There is less quantity of vegetables, please add more."; "adjective"
"kurikulum";"curriculum";"Sekolah ini memiliki kurikulum yang inovatif."; "This school has an innovative curriculum."; "noun"
"kursi malas";"lounge chair";"Saya duduk di kursi malas sambil membaca."; "I sit on the lounge chair while reading."; "noun"
"kursi panjang";"bench";"Di taman itu tersedia kursi panjang untuk istirahat."; "The park provides benches for resting."; "noun"
"laboratorium";"laboratory";"Saya akan pergi ke laboratorium untuk melakukan penelitian."; "I will go to the laboratory to conduct research."; "noun"
"ladang";"field";"Petani itu sedang bekerja di ladang jagung."; "The farmer is working in the cornfield."; "noun"
"lagu";"song";"Lagu ini sering diputar di radio setiap hari."; "This song is played on the radio every day."; "noun"
