"words in indonesian";"words in english";"sentence in indonesian using the words";"english translation";"part of speech of the words"
"berbahaya";"dangerous";"Makanan ini sangat berbahaya untuk dikonsumsi";"This food is very dangerous to consume";"adjective"
"berbelanja";"shopping";"Saya suka berbelanja di mall setiap akhir pekan";"I enjoy shopping at the mall every weekend";"verb"
"berbuka puasa";"break fasting";"Kita akan berbuka puasa bersama di rumah makan favorit kita";"We will break fasting together at our favorite restaurant";"verb"
"bercakap-cakap";"chatting";"Mereka sedang bercakap-cakap di taman";"They are chatting in the park";"verb"
"bercerai";"divorce";"Mereka akan bercerai setelah 10 tahun menikah";"They will divorce after 10 years of marriage";"verb"
"berdagang";"trading";"Dia sudah berdagang selama puluhan tahun";"He has been trading for decades";"verb"
"berdansa";"dancing";"Mereka berdansa dengan indah di panggung";"They dance beautifully on stage";"verb"
"berdarah";"bleeding";"Luka itu menyebabkan dia berdarah banyak";"The injury caused him to bleed profusely";"verb"
"berenang";"swimming";"Kami suka berenang di kolam renang setiap musim panas";"We enjoy swimming in the pool every summer";"verb"
"beres";"finished";"Saya sudah beres dengan pekerjaan ini, sekarang waktunya istirahat";"I am finished with this work, now it's time to rest";"adjective"
"berganti";"changing";"Dia berganti pakaian sebelum pergi ke pesta";"She is changing her clothes before going to the party";"verb"
"bergengsi";"prestigious";"Klub ini sangat bergengsi di kota ini";"This club is very prestigious in this city";"adjective"
"berguna";"useful";"Pengetahuan ini akan sangat berguna untuk masa depanmu";"This knowledge will be very useful for your future";"adjective"
"berhasil";"succeed";"Dia berhasil dalam ujian yang sulit ini";"She succeeded in this difficult exam";"verb"
"berhenti";"stop";"Tolong berhenti merokok, itu tidak baik untukmu";"Please stop smoking, it's not good for you";"verb"
"berhidung";"having a nose";"Semua orang pasti memiliki hidung";"Everyone definitely has a nose";"adjective"
"berhubungan";"related";"Keduanya tidak berhubungan sama sekali";"The two of them are not related at all";"verb"
"berjalan-jalan";"going for a walk";"Mari berjalan-jalan di taman ini";"Let's go for a walk in this park";"verb"
"berjudi";"gambling";"Berjudi adalah tindakan yang ilegal di negara ini";"Gambling is an illegal act in this country";"verb"
"berjuta-juta";"millions";"Produk ini telah terjual sebanyak berjuta-juta di seluruh dunia";"This product has sold millions worldwide";"adjective"
